horizon,quantile,q_label,count,mean_ret_pct,median_ret_pct,win_rate_pct
1d,Q1,deepest,336,-0.197,0.0,42.9
1d,Q2,,233,-0.313,-0.179,39.1
1d,Q3,,241,-0.258,-0.292,43.6
1d,Q4,,233,-0.224,-0.153,45.1
1d,Q5,least,297,-0.155,0.0,46.5
3d,Q1,deepest,332,-0.479,-0.386,41.0
3d,Q2,,229,-0.216,-0.205,44.1
3d,Q3,,237,-0.397,-0.202,45.1
3d,Q4,,229,-0.388,-0.234,44.1
3d,Q5,least,293,-0.199,-0.08,48.1
5d,Q1,deepest,332,-0.399,-0.372,44.3
5d,Q2,,229,0.009,-0.336,45.9
5d,Q3,,237,-0.335,-0.395,44.3
5d,Q4,,229,-0.159,-0.172,46.7
5d,Q5,least,293,-0.027,-0.098,48.5
10d,Q1,deepest,332,-0.403,-0.66,44.0
10d,Q2,,229,-0.201,-0.689,41.9
10d,Q3,,237,-0.18,-0.408,44.7
10d,Q4,,229,-0.1,-0.366,45.4
10d,Q5,least,293,0.006,-0.146,47.1
20d,Q1,deepest,328,-0.224,-0.583,44.8
20d,Q2,,226,0.341,-0.504,46.0
20d,Q3,,235,0.184,-0.716,45.1
20d,Q4,,226,0.278,-0.737,46.5
20d,Q5,least,290,0.389,-0.834,43.8
