date,action,index_key,etf,shares,price,amount,fee,cash_after,level,ranking,pnl,holding_days
2014-11-17,ENTRY,395004.SZ,159915.SZ,142600,1.4020000000000001,199925.2,49.981300000000005,800024.8187,1,bb_z,,
2014-11-19,EXIT_MIDLINE,395004.SZ,159915.SZ,142600,1.456,207625.6,51.906400000000005,1007598.5123,1,bb_z,7598.512299999955,2.0
2015-01-20,ENTRY,上海证券交易所上证红利,510880.SH,82200,2.432,199910.4,49.9776,807638.1346999999,1,bb_z,,
2015-02-09,ENTRY,000032.SH,510610.SH,222400,0.899,199937.6,49.9844,607650.5503,1,bb_z,,
2015-02-17,EXIT_MIDLINE,上海证券交易所上证红利,510880.SH,82200,2.441,200650.19999999998,50.162549999999996,808250.58775,1,bb_z,639.6598499999781,28.0
2015-02-25,EXIT_MIDLINE,000032.SH,510610.SH,222400,0.9430000000000001,209723.2,52.430800000000005,1017921.3569499999,1,bb_z,9683.18480000001,16.0
2015-03-06,ENTRY,000063.SH,510110.SH,62000,3.221,199702.0,49.9255,818169.4314499999,1,bb_z,,
2015-03-09,EXIT_MIDLINE,000063.SH,510110.SH,62000,3.2600000000000002,202120.0,50.53,1020238.9014499999,1,bb_z,2317.54450000001,3.0
2015-05-08,ENTRY,上海证券交易所上证红利,510880.SH,62500,3.198,199875.0,49.96875,820313.9326999999,1,bb_z,,
2015-05-12,EXIT_MIDLINE,上海证券交易所上证红利,510880.SH,62500,3.406,212875.0,53.21875,1033135.7139499999,1,bb_z,12896.812500000022,4.0
2015-05-18,ENTRY,上证金融地产行业,510650.SH,112600,1.7750000000000001,199865.00000000003,49.96625000000001,833220.7476999998,1,bb_z,,
2015-05-20,EXIT_MIDLINE,上证金融地产行业,510650.SH,112600,1.861,209548.6,52.387150000000005,1042716.9605499998,1,bb_z,9581.246599999975,2.0
2015-06-19,ENTRY,沪深300非银行金融,512070.SH,79500,2.515,199942.5,49.985625,842724.4749249999,1,bb_z,,
2015-06-26,ENTRY,深证电子信息传媒产业50,159909.SZ,25500,7.828,199614.0,49.9035,643060.5714249999,1,bb_z,,
2015-06-26,ENTRY,395004.SZ,159915.SZ,67700,2.95,199715.0,49.92875,443295.6426749999,1,bb_z,,
2015-06-29,ADD,沪深300非银行金融,512070.SH,86800,2.302,199813.6,49.9534,243432.0892749999,2,bb_z,,
2015-07-13,EXIT_MIDLINE,沪深300非银行金融,512070.SH,166300,2.302,382822.60000000003,95.70565,626158.9836249999,2,bb_z,-17129.144675000025,24.0
2015-07-14,EXIT_MIDLINE,深证电子信息传媒产业50,159909.SZ,25500,7.053,179851.5,44.962875000000004,805965.5207499999,1,bb_z,-19857.366374999987,18.0
2015-07-14,EXIT_MIDLINE,395004.SZ,159915.SZ,67700,2.709,183399.30000000002,45.849825,989318.9709249999,1,bb_z,-16411.478574999983,18.0
2015-07-29,ENTRY,上证超级大盘,510020.SH,84900,2.354,199854.6,49.96365,789414.4072749999,1,bb_z,,
2015-07-29,ENTRY,上海证券交易所50成份,510050.SH,79900,2.5020000000000002,199909.80000000002,49.977450000000005,589454.6298249998,1,bb_z,,
2015-07-29,ENTRY,上证金融地产行业,510650.SH,133600,1.497,199999.2,49.9998,389405.43002499983,1,bb_z,,
2015-08-10,EXIT_MIDLINE,上证超级大盘,510020.SH,84900,2.54,215646.0,53.911500000000004,604997.5185249998,1,bb_z,15687.524850000023,12.0
2015-08-10,EXIT_MIDLINE,上海证券交易所50成份,510050.SH,79900,2.618,209178.19999999998,52.294549999999994,814123.4239749998,1,bb_z,9166.127999999977,12.0
2015-08-21,ENTRY,沪深300非银行金融,512070.SH,117400,1.703,199932.2,49.983050000000006,614141.2409249998,1,bb_z,,
2015-08-24,ADD,上证金融地产行业,510650.SH,147000,1.36,199920.0,49.980000000000004,414171.26092499983,2,bb_z,,
2015-08-25,ADD,沪深300非银行金融,512070.SH,144800,1.381,199968.8,49.9922,214152.46872499984,2,bb_z,,
2015-08-26,ADD,上证金融地产行业,510650.SH,172200,1.161,199924.2,49.98105,14178.287674999825,3,bb_z,,
2015-08-28,ENTRY,000069.SH,510150.SH,3900,3.556,13868.4,5.0,304.8876749998253,1,bb_z,,
2015-09-11,EXIT_MIDLINE,上证金融地产行业,510650.SH,452800,1.351,611732.8,152.93320000000003,611884.7544749998,3,bb_z,11586.505950000055,44.0
2015-09-17,EXIT_MIDLINE,沪深300非银行金融,512070.SH,262200,1.484,389104.8,97.2762,1000892.2782749998,2,bb_z,-10993.451449999995,27.0
2015-09-23,EXIT_MIDLINE,000069.SH,510150.SH,3900,3.742,14593.8,5.0,1015481.0782749999,1,bb_z,715.3999999999997,26.0
2015-10-08,ENTRY,上证超级大盘,510020.SH,96100,2.08,199888.0,49.972,815543.1062749999,1,bb_z,,
2015-10-08,EXIT_MIDLINE,上证超级大盘,510020.SH,96100,2.17,208537.0,52.13425,1024027.9720249999,1,bb_z,8546.893750000001,0.0
2017-09-27,ENTRY,395004.SZ,159915.SZ,114100,1.752,199903.2,49.97580000000001,824074.7962249999,1,bb_z,,
2017-10-09,EXIT_MIDLINE,395004.SZ,159915.SZ,114100,1.784,203554.4,50.8886,1027578.3076249999,1,bb_z,3550.3356000000103,12.0
2018-03-23,ENTRY,上海证券交易所上证红利,510880.SH,67300,2.971,199948.30000000002,49.987075000000004,827580.0205499999,1,bb_z,,
2018-03-27,ADD,上海证券交易所上证红利,510880.SH,68300,2.927,199914.1,49.978525000000005,627615.9420249999,2,bb_z,,
2018-03-29,ADD,上海证券交易所上证红利,510880.SH,69400,2.8810000000000002,199941.40000000002,49.985350000000004,427624.5566749999,3,bb_z,,
2018-04-18,ENTRY,中小企业100,159902.SZ,58500,3.416,199836.0,49.959,227738.59767499988,1,bb_z,,
2018-04-24,ADD,中小企业100,159902.SZ,59600,3.355,199958.0,49.9895,27730.608174999885,2,bb_z,,
2018-04-24,EXIT_MIDLINE,上海证券交易所上证红利,510880.SH,205000,2.872,588760.0,147.19,616343.418175,3,bb_z,-11340.940950000027,32.0
2018-04-27,ENTRY,399330.SZ,159901.SZ,43800,4.566,199990.8,49.997699999999995,416302.620475,1,bb_z,,
2018-05-04,EXIT_MIDLINE,中小企业100,159902.SZ,118100,3.448,407208.8,101.8022,823409.618275,2,bb_z,7213.049299999917,16.0
2018-05-07,EXIT_MIDLINE,399330.SZ,159901.SZ,43800,4.682,205071.6,51.267900000000004,1028429.950375,1,bb_z,4979.534400000019,10.0
2018-06-05,ENTRY,395004.SZ,159915.SZ,123600,1.617,199861.2,49.965300000000006,828518.785075,1,bb_z,,
2018-06-20,ADD,395004.SZ,159915.SZ,136700,1.462,199855.4,49.96385,628613.421225,2,bb_z,,
2018-06-22,ADD,395004.SZ,159915.SZ,139300,1.435,199895.5,49.973875,428667.94735000003,3,bb_z,,
2018-07-10,EXIT_MIDLINE,395004.SZ,159915.SZ,399600,1.5010000000000001,599799.6000000001,149.9499,1028317.5974500001,3,bb_z,-112.35292500001597,35.0
2018-09-18,ENTRY,395004.SZ,159915.SZ,155400,1.287,199999.8,49.99995,828267.7975000001,1,bb_z,,
2018-09-26,EXIT_MIDLINE,395004.SZ,159915.SZ,155400,1.343,208702.19999999998,52.175549999999994,1036917.82195,1,bb_z,8600.224500000024,8.0
2018-10-09,ENTRY,399967.SZ,512660.SH,289400,0.6910000000000001,199975.40000000002,49.99385000000001,836892.4281,1,bb_z,,
2018-10-11,ADD,399967.SZ,512660.SH,303000,0.66,199980.0,49.995000000000005,636862.4331,2,bb_z,,
2018-10-15,ADD,399967.SZ,512660.SH,312000,0.641,199992.0,49.998,436820.4351,3,bb_z,,
2018-11-01,EXIT_MIDLINE,399967.SZ,512660.SH,904400,0.641,579720.4,144.9301,1016395.905,3,bb_z,-20521.916950000035,23.0
2019-01-03,ENTRY,上海证券交易所上证红利,510880.SH,78800,2.5380000000000003,199994.40000000002,49.99860000000001,816351.5064000001,1,bb_z,,
2019-01-09,EXIT_MIDLINE,上海证券交易所上证红利,510880.SH,78800,2.596,204564.80000000002,51.141200000000005,1020865.1652,1,bb_z,4469.260199999997,6.0
2019-04-26,ENTRY,399967.SZ,512660.SH,257000,0.778,199946.0,49.9865,820869.1787,1,bb_z,,
2019-04-30,ADD,399967.SZ,512660.SH,265600,0.753,199996.8,49.999199999999995,620822.3795,2,bb_z,,
2019-05-22,EXIT_MIDLINE,399967.SZ,512660.SH,522600,0.751,392472.6,98.11815,1013196.86135,2,bb_z,-7668.3038499999975,26.0
2019-06-06,ENTRY,沪深300医药卫生,512010.SH,134100,1.491,199943.1,49.985775000000004,813203.775575,1,bb_z,,
2019-06-06,ENTRY,中证全指医药卫生,159938.SZ,174600,1.145,199917.0,49.97925,613236.796325,1,bb_z,,
2019-06-14,EXIT_MIDLINE,沪深300医药卫生,512010.SH,134100,1.551,207989.09999999998,51.997274999999995,821173.89905,1,bb_z,7944.016949999988,8.0
2019-09-27,ENTRY,399967.SZ,512660.SH,260700,0.767,199956.9,49.989225,621167.0098250001,1,bb_z,,
2019-10-15,EXIT_MIDLINE,中证全指医药卫生,159938.SZ,174600,1.34,233964.0,58.491,855072.518825,1,bb_z,33938.52975,131.0
2019-10-24,ENTRY,399987.SZ,512690.SH,183300,1.091,199980.3,49.995075,655042.22375,1,bb_z,,
2019-10-29,EXIT_MIDLINE,399967.SZ,512660.SH,260700,0.757,197349.9,49.337475,852342.786275,1,bb_z,-2706.326699999985,32.0
2019-10-29,EXIT_MIDLINE,399987.SZ,512690.SH,183300,1.117,204746.1,51.186525,1057037.69975,1,bb_z,4664.618400000017,5.0
2019-11-14,ENTRY,399967.SZ,512660.SH,277300,0.721,199933.3,49.983325,857054.416425,1,bb_z,,
2019-11-14,ENTRY,中证央企结构调整,512960.SH,211600,0.9450000000000001,199962.0,49.990500000000004,657042.4259249999,1,bb_z,,
2019-11-18,ADD,中证央企结构调整,512960.SH,212900,0.9390000000000001,199913.1,49.978275000000004,457079.3476499999,2,bb_z,,
2019-11-22,EXIT_MIDLINE,399967.SZ,512660.SH,277300,0.734,203538.19999999998,50.88455,660566.6630999999,1,bb_z,3504.0321250000047,8.0
2019-11-22,EXIT_MIDLINE,中证央企结构调整,512960.SH,424500,0.9570000000000001,406246.50000000006,101.56162500000002,1066711.601475,2,bb_z,6169.869599999984,8.0
2019-11-25,ENTRY,中证主要消费,159928.SZ,66700,2.995,199766.5,49.941625,866895.1598499999,1,bb_z,,
2019-11-27,ENTRY,399441.SZ,512290.SH,172200,1.161,199924.2,49.98105,666920.9787999999,1,bb_z,,
2019-12-02,ADD,中证主要消费,159928.SZ,68300,2.927,199914.1,49.978525000000005,466956.9002749999,2,bb_z,,
2019-12-03,ADD,399441.SZ,512290.SH,178400,1.121,199986.4,49.9966,266920.5036749999,2,bb_z,,
2019-12-13,EXIT_MIDLINE,399441.SZ,512290.SH,350600,1.165,408449.0,102.11225,675267.3914249999,2,bb_z,8336.310099999973,16.0
2019-12-17,EXIT_MIDLINE,中证主要消费,159928.SZ,135000,2.967,400545.0,100.13625,1075712.255175,2,bb_z,664.3436000000438,22.0
2020-01-22,ENTRY,399986.SZ,512800.SH,180300,1.109,199952.7,49.988175000000005,875709.567,1,bb_z,,
