horizon,n,ic_amount_pooled,ic_bbz_pooled,ic_amount_daily_mean,ic_bbz_daily_mean,ic_amount_hit_rate,ic_bbz_hit_rate
1d,1416,0.0439,0.0418,-0.0164,-0.0229,45.6,45.6
3d,1413,0.0448,0.0408,-0.0111,-0.0355,46.4,48.1
5d,1413,0.0318,0.0279,-0.0571,-0.0473,43.6,44.8
10d,1412,0.0514,0.0486,0.0065,0.0282,50.3,50.3
20d,1410,0.0536,0.0287,0.0424,-0.0549,51.9,42.5
