horizon,asset_class,n,mean_ret_pct,median_ret_pct,win_rate_pct,std_pct
1d,stock,260683,-0.074,0.101,50.9,3.615
1d,etf,10957,0.116,0.075,50.4,2.092
3d,stock,260552,0.279,0.236,51.7,6.447
3d,etf,10941,0.45,0.156,51.2,3.646
5d,stock,259252,0.844,0.459,53.1,8.095
5d,etf,10923,0.713,0.225,52.5,4.535
10d,stock,257075,1.376,0.653,53.4,11.893
10d,etf,10867,0.953,0.146,50.8,6.596
20d,stock,255966,2.503,1.033,53.8,15.041
20d,etf,10769,1.618,0.28,51.5,8.928
