ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,benchmark,status,invest_type,type,market,excl_tags,retrieval_date
158001.SZ,嘉实国证价值100ETF,嘉实基金管理有限公司,招商银行股份有限公司,股票型,20260819,,20260827,20260803,,2.6539,国证价值100指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
158005.SZ,博时中证工程机械主题ETF,博时基金管理有限公司,招商银行股份有限公司,股票型,20260814,,20260824,20260804,,2.2506,中证工程机械主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
158006.SZ,博时中证细分化工产业主题ETF,博时基金管理有限公司,北京银行股份有限公司,股票型,20260729,,20260807,20260713,,2.1305,中证细分化工产业主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
158008.SZ,华夏国证新能源电池ETF,华夏基金管理有限公司,中信银行股份有限公司,股票型,20260819,,20260828,20260720,,2.7341,国证新能源电池指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
158009.SZ,南方国证航天航空行业ETF,南方基金管理股份有限公司,中国建设银行股份有限公司,股票型,20260729,,20260806,20260713,,2.1637,国证航天航空行业指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
158010.SZ,嘉实中证医疗ETF,嘉实基金管理有限公司,交通银行股份有限公司,股票型,20260819,,20260827,20260729,,2.3021,中证医疗指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
158011.SZ,国泰创业板软件ETF,国泰基金管理有限公司,中国建设银行股份有限公司,股票型,20260826,,20260904,20260817,,,创业板软件指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
158012.SZ,南方中证云计算50ETF,南方基金管理股份有限公司,中国工商银行股份有限公司,股票型,20260812,,20260820,20260727,,2.7483,中证云计算50指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
158013.SZ,易方达国证航天航空行业ETF,易方达基金管理有限公司,国泰海通证券股份有限公司,股票型,20260826,,20260907,20260727,,,国证航天航空行业指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
158017.SZ,易方达中证细分化工产业主题ETF,易方达基金管理有限公司,国投证券股份有限公司,股票型,20260819,,20260827,20260727,,3.4159,中证细分化工产业主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
158019.SZ,永赢中证电池主题ETF,永赢基金管理有限公司,青岛银行股份有限公司,股票型,20260819,,20260827,20260803,,2.9428,中证电池主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
158022.SZ,国联创业板综合增强策略ETF,国联基金管理有限公司,中国农业银行股份有限公司,股票型,,,,20260820,,,创业板综合指数收益率×100%,,,股票型,E,[],2026-09-04 10:05:42
158023.SZ,万家中证800红利低波动ETF,万家基金管理有限公司,中国银行股份有限公司,股票型,20260821,,20260907,20260810,,,中证800红利低波动指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
158025.SZ,鹏华创业板成长ETF,鹏华基金管理有限公司,青岛银行股份有限公司,股票型,,,,,,,创业板成长指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158026.SZ,华夏国证大盘成长ETF,华夏基金管理有限公司,招商银行股份有限公司,股票型,,,,,,,国证大盘成长指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158027.SZ,易方达中证工业互联网主题ETF,易方达基金管理有限公司,中国银行股份有限公司,股票型,20260824,,20260902,20260807,,,中证工业互联网主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
158028.SZ,招商中证稀有金属主题ETF,招商基金管理有限公司,中国农业银行股份有限公司,股票型,20260902,,,20260810,,,中证稀有金属主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
158030.SZ,汇添富国证航天航空行业ETF,汇添富基金管理股份有限公司,兴业银行股份有限公司,股票型,,,,,,,国证航天航空行业指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158031.SZ,易方达创业板人工智能ETF,易方达基金管理有限公司,中国银行股份有限公司,股票型,,,,,,,创业板人工智能指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158032.SZ,景顺长城中证细分化工产业主题ETF,景顺长城基金管理有限公司,中信建投证券股份有限公司,股票型,20260902,,,20260817,,,中证细分化工产业主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
158037.SZ,博时中证机器人ETF,博时基金管理有限公司,宁波银行股份有限公司,股票型,,,,20260824,,,中证机器人指数收益率×100%,,,股票型,E,[],2026-09-04 10:05:42
158038.SZ,富国国证粮食产业ETF,富国基金管理有限公司,平安银行股份有限公司,股票型,,,,,,,国证粮食产业指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158041.SZ,华夏创业板算力基础设施ETF,华夏基金管理有限公司,中国建设银行股份有限公司,股票型,,,,,,,创业板算力基础设施指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158043.SZ,南方国证价值100ETF,南方基金管理股份有限公司,国投证券股份有限公司,股票型,,,,,,,国证价值100指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158046.SZ,南方中证卫星产业ETF,南方基金管理股份有限公司,上海银行股份有限公司,股票型,,,,,,,中证卫星产业指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158047.SZ,永赢国证粮食产业ETF,永赢基金管理有限公司,平安银行股份有限公司,股票型,,,,,,,国证粮食产业指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158049.SZ,广发创业板算力基础设施ETF,广发基金管理有限公司,国投证券股份有限公司,股票型,,,,,,,创业板算力基础设施指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158050.SZ,易方达创业板算力基础设施ETF,易方达基金管理有限公司,招商银行股份有限公司,股票型,,,,,,,创业板算力基础设施指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158052.SZ,景顺长城创业板金融科技ETF,景顺长城基金管理有限公司,江苏银行股份有限公司,股票型,,,,,,,创业板金融科技指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158053.SZ,大成创业板算力基础设施ETF,大成基金管理有限公司,长城证券股份有限公司,股票型,,,,,,,创业板算力基础设施指数收益率×100%,,,,E,[],2026-09-04 10:05:42
