date,action,index_key,etf,shares,price,amount,fee,cash_after,level,pnl,holding_days
2006-08-01,ENTRY,399330.SZ,159901.SZ,155700,1.284,199918.80000000002,49.97970000000001,800031.2202999999,1,,
2006-08-02,ENTRY,上海证券交易所50成份,510050.SH,191500,1.044,199926.0,49.981500000000004,600055.2387999999,1,,
2006-08-03,ADD,399330.SZ,159901.SZ,158400,1.262,199900.8,49.9752,400104.46359999996,2,,
2006-08-07,ADD,399330.SZ,159901.SZ,162800,1.228,199918.4,49.9796,200136.08399999997,3,,
2006-08-08,ADD,上海证券交易所50成份,510050.SH,197800,1.0110000000000001,199975.80000000002,49.993950000000005,110.29004999995232,2,,
2006-08-28,EXIT_PSTAR,399330.SZ,159901.SZ,476900,1.295,617585.5,154.396375,617541.3936749999,3,17543.16912500001,27.0
2006-08-28,EXIT_PSTAR,上海证券交易所50成份,510050.SH,389300,1.07,416551.0,104.13775,1033988.255925,2,16445.086800000074,26.0
2007-06-05,ENTRY,上海证券交易所上证红利,510880.SH,66000,3.029,199914.0,49.978500000000004,834024.277425,1,,
2007-07-06,ENTRY,上海证券交易所50成份,510050.SH,72300,2.763,199764.9,49.941225,634209.4362,1,,
2007-07-06,ENTRY,399330.SZ,159901.SZ,52400,3.814,199853.6,49.9634,434305.8728,1,,
2007-07-06,ADD,上海证券交易所上证红利,510880.SH,66600,3.003,199999.80000000002,49.999950000000005,234256.07285,2,,
2007-07-20,EXIT_PSTAR,上海证券交易所50成份,510050.SH,72300,3.049,220442.69999999998,55.11067499999999,454643.66217499995,1,20572.748100000004,14.0
2007-07-23,EXIT_PSTAR,上海证券交易所上证红利,510880.SH,132600,3.427,454420.2,113.60505,908950.257125,2,54292.81649999999,48.0
2007-07-23,EXIT_PSTAR,399330.SZ,159901.SZ,52400,4.243,222333.2,55.5833,1131227.8738250001,1,22374.053300000014,17.0
2007-10-26,ENTRY,中小企业100,159902.SZ,78200,2.556,199879.2,49.969800000000006,931298.7040250001,1,,
2007-11-09,ENTRY,上海证券交易所50成份,510050.SH,50100,3.992,199999.2,49.9998,731249.504225,1,,
2007-11-09,ENTRY,上海证券交易所上证红利,510880.SH,46400,4.3020000000000005,199612.80000000002,49.903200000000005,531586.801025,1,,
