date,n_signals,signal_ratio
2026-07-20,10,0.3542857142857142
2023-07-21,10,0.1929824561403508
2023-10-18,10,0.2521739130434782
2023-10-11,10,0.1217391304347826
2023-10-10,10,0.1913043478260869
2023-08-25,10,0.1130434782608695
2023-08-23,10,0.4347826086956521
2023-08-22,10,0.131578947368421
2023-08-21,10,0.5877192982456141
2023-08-16,10,0.3451327433628318
2023-08-15,10,0.25
2023-08-14,10,0.1415929203539823
2023-08-11,10,0.1858407079646017
2023-07-24,10,0.2017543859649122
2023-07-20,10,0.1724137931034483
2023-10-20,10,0.5789473684210527
2023-06-08,10,0.1440677966101695
2023-06-07,10,0.2184873949579832
2023-06-06,10,0.1666666666666666
2023-05-31,10,0.2833333333333333
