metric,value
period_start,2006-05-15
period_end,2026-09-03
n_trading_days,4941
n_years,20.3
signal_source,INDEX_CLOSE_BB20_2
execution,PIT_REPRESENTATIVE_ETF
initial_cash,1000000
final_equity,565562.14
total_return_pct,-43.44
CAGR_pct,-2.77
annualized_vol_pct,14.78
Sharpe,-0.1222
MaxDD_pct,-50.06
total_trades,192
completed_trades,73
win_rate_pct,54.79
avg_trade_pnl,-5951.2
median_trade_pnl,2392.64
profit_factor,0.5894
avg_holding_days,211.7
avg_exposure_pct,71.13
signals_per_day,0.52
avg_open_positions,2.08
