ranking,horizon,selected_count,selected_mean_pct,selected_median_pct,selected_win_pct,nonselected_count,nonselected_mean_pct,nonselected_median_pct,nonselected_win_pct,diff_mean_pct
amount,1d,1399,0.041,0.102,52.3,17,0.935,0.922,76.5,-0.894
amount,3d,1396,-0.013,0.0,48.9,17,1.129,0.694,82.4,-1.141
amount,5d,1396,0.098,0.0,48.9,17,1.904,2.731,76.5,-1.806
amount,10d,1395,0.125,-0.362,46.0,17,2.118,2.639,76.5,-1.993
amount,20d,1393,0.435,-0.398,46.6,17,1.387,0.562,58.8,-0.952
bb_z,1d,1399,0.042,0.102,52.3,17,0.824,0.866,76.5,-0.781
bb_z,3d,1396,-0.018,0.0,48.9,17,1.616,1.446,76.5,-1.634
bb_z,5d,1396,0.091,0.0,48.9,17,2.426,2.458,76.5,-2.335
bb_z,10d,1395,0.117,-0.362,46.0,17,2.808,1.826,76.5,-2.691
bb_z,20d,1393,0.443,-0.396,46.6,17,0.791,0.562,58.8,-0.349
