date,n_signal,eligible_count,signal_ratio,open_positions,n_entries,n_exits,invested_pct
2025-04-07,266,278,0.9568345323741008,2,0,0,0.9999631040733487
2026-03-23,256,312,0.8205128205128205,2,1,0,0.7961516519317502
2025-01-03,242,270,0.8962962962962963,2,0,0,0.9997725369047075
2025-04-08,215,278,0.7733812949640287,2,0,0,0.9999635634421445
2023-10-23,210,240,0.875,2,0,0,0.9998405274284546
2025-01-02,199,270,0.737037037037037,2,0,0,0.9997750045005228
2025-11-21,199,304,0.6546052631578947,2,0,0,0.9000953379648527
2022-04-25,188,214,0.8785046728971962,2,0,0,0.9998932632381241
2022-04-26,185,216,0.8564814814814815,2,0,0,0.9998914012410585
2025-01-06,180,270,0.6666666666666666,2,0,0,0.9997728616121584
2022-03-09,176,206,0.8543689320388349,2,0,0,0.9999085256301651
2022-03-08,174,206,0.8446601941747572,2,0,0,0.9999094243914607
2023-10-20,167,240,0.6958333333333333,2,0,0,0.9998445945913622
2022-03-15,166,205,0.8097560975609757,2,0,0,0.9999030033659067
2023-12-05,165,247,0.6680161943319838,2,0,0,0.99996191309218
2023-10-19,162,240,0.675,2,0,0,0.999846768358224
2026-07-17,146,317,0.4605678233438486,2,0,0,0.8580773796233484
2023-08-21,143,235,0.6085106382978723,2,0,0,0.9998546291900613
2024-02-02,142,257,0.5525291828793775,2,0,0,0.9999820924962421
2024-01-31,137,256,0.53515625,2,0,0,0.9999825407707619
