year,start_equity,end_equity,return_pct
2006,1000000.0,1017543.1691249999,1.754316912499987
2007,1017543.1691249999,1047629.7796250001,2.9567895901529306
2008,1047629.7796250001,641042.5933749999,-38.81019747219656
2009,641042.5933749999,750847.9900999998,17.1291888963087
2010,744859.4901,679867.4658749998,-8.725407286718578
2011,689039.3658749998,594097.9190749999,-13.778813156696113
2012,583671.4190749999,627275.7584999999,7.470699780726631
2013,627275.7584999999,625579.3279499998,-0.27044414310808396
2014,624820.1279499998,621764.7585249998,-0.4889998398458162
2015,621764.7585249998,703275.7212749999,13.10961446952492
2016,703275.7212749999,681895.9850999998,-3.040021932825976
2017,685113.4850999998,702528.41025,2.5419037179597037
2018,702528.41025,614164.0306249999,-12.578050700263487
2019,611252.5306249999,644532.9589249999,5.44462830541923
2020,644532.9589249999,665902.2356999998,3.3154668786280928
2021,665902.2356999998,618071.5632749998,-7.182837038340939
2022,609696.9632749999,560106.4222749999,-8.133637526029869
2023,561278.4222749999,572636.4232499998,2.0235948014824867
2024,570368.6232499997,572231.9064999998,0.3266805315101262
2025,567784.1064999998,560314.6006249997,-1.3155538856211457
2026,562322.4166999997,565864.6281749998,0.6299253541744987
