rank,model,index_name,index_key,etf,entry_date,exit_date,holding_days,trade_return_pct,pnl,MAE_pct,MFE_pct,hit_mid,hit_upper,failure_class,signal_count_same_day,eligible_universe_count,signal_ratio_pct,csi300_drawdown_pct,csi300_ret_20d_pct,csi300_ret_60d_pct,csi300_vol_20d,regime,risk_cluster,pre_entry_ret_20d_pct,pre_entry_ret_60d_pct,bb_z_at_entry,dist_to_MA20_pct
6,Model2,深证100,399330.SZ,159901.SZ,2008-08-06,2008-11-14,100,-21.62,-177030.59,-35.12,13.89,True,True,B_REBOUND_RELAPSE,0,5,0.0,-53.69,-9.73,-29.34,0.3528,stress,6,-12.45,,-1.83,-6.53
7,Model2,深证100,399330.SZ,159901.SZ,2012-06-26,2012-12-14,171,-10.06,-25494.33,-18.1,3.5,True,True,B_REBOUND_RELAPSE,1,6,16.7,-58.23,-6.11,-3.93,0.1749,stress,6,-6.5,,-2.04,-4.48
8,Model2,富时中国A股自由现金流聚焦,980092.SZ,159201.SZ,2026-05-19,2026-07-20,62,-9.79,-16537.51,-15.75,0.13,True,True,B_REBOUND_RELAPSE,5,169,3.0,-17.43,2.45,2.72,0.1312,downtrend,34,-4.69,,-2.36,-3.21
9,Model2,深证红利价格,399324.SZ,159905.SZ,2021-06-15,2021-10-11,118,-9.19,-22867.39,-16.29,-0.74,True,False,B_REBOUND_RELAPSE,1,65,1.5,-12.09,-0.36,1.72,0.1479,sideways,49,-3.49,,-2.29,-4.07
10,Model2,深证100,399330.SZ,159901.SZ,2011-08-09,2012-02-22,197,-8.92,-43002.45,-21.5,9.87,True,True,B_REBOUND_RELAPSE,1,5,20.0,-52.39,-8.46,-9.75,0.2019,stress,6,-8.55,,-2.16,-6.93
11,Model2,沪深300,000300.SH,510300.SH,2016-01-05,2016-03-07,62,-8.92,-27099.22,-12.8,7.91,True,False,B_REBOUND_RELAPSE,1,7,14.3,-40.81,-5.66,0.9,0.3287,stress,6,-1.08,,-1.02,-4.01
12,Model2,沪深300,000300.SH,510300.SH,2013-10-28,2014-04-08,162,-8.89,-20447.27,-13.86,4.43,True,True,B_REBOUND_RELAPSE,1,9,11.1,-59.74,-4.3,5.73,0.1725,stress,6,-4.12,,-1.86,-2.51
13,Model2,中证传媒,399971.SZ,512980.SH,2022-07-13,2022-11-07,117,-8.29,-14684.68,-16.38,2.62,True,False,B_REBOUND_RELAPSE,1,101,1.0,-26.47,1.01,3.1,0.171,stress,12,-3.51,,-1.59,-3.71
14,Model2,中证智能汽车主题,399432.SZ,515250.SH,2023-04-21,2023-05-31,40,-6.7,-11041.38,-11.15,-4.92,True,True,B_REBOUND_RELAPSE,9,117,7.7,-31.39,-0.16,-2.97,0.1174,stress,4,-3.17,,-2.45,-5.52
15,Model2,中证军工,399967.SZ,512660.SH,2021-02-01,2021-05-20,108,-6.56,-17500.44,-15.31,4.26,True,False,B_REBOUND_RELAPSE,0,62,0.0,-7.82,2.85,10.89,0.2334,sideways,14,-14.46,,-1.9,-10.42
16,Model2,中证智能汽车主题,399432.SZ,515250.SH,2025-03-24,2025-05-07,44,-5.8,-10188.96,-17.35,0.07,True,False,B_REBOUND_RELAPSE,1,129,0.8,-33.05,-0.88,-0.27,0.1544,stress,4,-5.28,,-1.45,-3.26
17,Model2,深证100,399330.SZ,159901.SZ,2011-04-26,2011-06-24,59,-5.64,-16484.02,-11.02,-0.37,True,True,B_REBOUND_RELAPSE,2,7,28.6,-45.03,-1.93,8.3,0.1457,stress,6,-4.57,,-2.0,-2.51
18,Model2,沪深300,000300.SH,510300.SH,2023-11-28,2024-02-19,83,-5.42,-9600.74,7.56,18.42,True,False,B_REBOUND_RELAPSE,2,116,1.7,-40.13,-1.51,-6.24,0.0979,stress,6,-1.62,,-1.82,-1.62
19,Model2,中证创新药产业,980086.CNI,159992.SZ,2024-12-18,2025-02-07,51,-4.43,-7994.92,-10.08,-0.58,True,True,B_REBOUND_RELAPSE,0,131,0.0,-32.93,-1.1,24.31,0.1836,stress,46,-3.09,,-0.88,-1.64
20,Model2,中证创新药产业,980086.CNI,159992.SZ,2024-05-27,2024-07-22,56,-3.91,-6705.74,-11.38,0.57,True,False,B_REBOUND_RELAPSE,1,122,0.8,-38.14,3.24,5.28,0.1308,stress,46,1.06,,-1.61,-4.07
