index_key,n_tracking_etfs,n_live,largest_current_etf,largest_current_fund_size,largest_historical_etf,most_liquid_etf
000009.SH,2.0,2.0,530380.SH,148040795.0,530380.SH,530380.SH
000010.SH,10.0,10.0,510010.SH,232855529.6,510010.SH,530580.SH
000016.SH,9.0,8.0,510100.SH,2790214718.3999996,510100.SH,510100.SH
000028.SH,1.0,0.0,,,510280.SH,510280.SH
000029.SH,1.0,1.0,510030.SH,157066252.2,510030.SH,510030.SH
000032.SH,1.0,0.0,,,510610.SH,510610.SH
000037.SH,1.0,1.0,510660.SH,129220719.9,510660.SH,510660.SH
000044.SH,1.0,1.0,510130.SH,233524986.70000002,510130.SH,510130.SH
000063.SH,1.0,0.0,,,510110.SH,510110.SH
000064.SH,1.0,0.0,,,510120.SH,510120.SH
000067.SH,1.0,0.0,,,510260.SH,510260.SH
000069.SH,1.0,1.0,510150.SH,1412914942.8,510150.SH,510150.SH
000126.SH,4.0,4.0,515650.SH,3247772800.0,515650.SH,515650.SH
000300.SH,32.0,30.0,510300.SH,106840235761.70001,510300.SH,510300.SH
000510.SH,41.0,40.0,563360.SH,39649383998.00001,563360.SH,563360.SH
000802.SH,1.0,0.0,,,510440.SH,510440.SH
000806.CSI,1.0,1.0,516600.SH,67523245.19999999,516600.SH,516600.SH
000807.CSI,1.0,1.0,159736.SZ,4384683151.802,159736.SZ,159736.SZ
000812.CSI,2.0,2.0,159886.SZ,62297907.96,159886.SZ,159886.SZ
000813.CSI,14.0,13.0,159870.SZ,13738901685.390001,159870.SZ,159870.SZ
000814.SH,1.0,1.0,512120.SH,358623757.8,512120.SH,512120.SH
000827.SH,2.0,2.0,512580.SH,654335096.5,512580.SH,512580.SH
000852.SH,16.0,15.0,512100.SH,18859217513.6,512100.SH,512100.SH
000856.SH,1.0,0.0,,,512310.SH,512310.SH
000857.SH,1.0,1.0,517990.SH,42852964.800000004,517990.SH,517990.SH
000859.CSI,3.0,3.0,515150.SH,625964024.0,515150.SH,515110.SH
000903.SH,14.0,14.0,562000.SH,354462312.59999996,562000.SH,159686.SZ
000905.SH,23.0,22.0,561550.SH,1870320429.6000001,561550.SH,561550.SH
000906.SH,9.0,4.0,515800.SH,4978711992.799999,515800.SH,515800.SH
000922.CSI,6.0,6.0,515180.SH,18346323650.0,515180.SH,515180.SH
000945.CSI,2.0,1.0,561320.SH,32547443.0,561320.SH,159683.SZ
000949.CSI,5.0,5.0,159825.SZ,1858837900.436,159825.SZ,159825.SZ
000992.SH,2.0,2.0,512640.SH,49428277.800000004,512640.SH,512640.SH
395004.SZ,39.0,36.0,159915.SZ,64869914936.880005,159915.SZ,159915.SZ
399007.SZ,1.0,1.0,159912.SZ,128821001.06199999,159912.SZ,159912.SZ
399282.SZ,3.0,3.0,515400.SH,1429959318.0000002,515400.SH,515400.SH
399285.SZ,1.0,1.0,159709.SZ,35835412.08,159709.SZ,159709.SZ
399303.SZ,6.0,5.0,159628.SZ,444873434.25,159628.SZ,159628.SZ
399324.SZ,2.0,2.0,159905.SZ,1635524070.758,159905.SZ,159905.SZ
399330.SZ,13.0,12.0,159901.SZ,3495468524.8599997,159901.SZ,159901.SZ
399361.SZ,1.0,1.0,159728.SZ,36131271.523,159728.SZ,159728.SZ
399364.SZ,1.0,0.0,,,159986.SZ,159986.SZ
399372.SZ,2.0,1.0,159203.SZ,13062411.942,159203.SZ,159203.SZ
399373.SZ,2.0,2.0,159391.SZ,94838176.944,159391.SZ,159021.SZ
399378.SZ,2.0,2.0,159653.SZ,62560012.308000006,159653.SZ,159717.SZ
399389.SZ,2.0,2.0,159695.SZ,791674592.4560001,159695.SZ,159507.SZ
399401.SZ,1.0,0.0,,,510220.SH,510220.SH
399432.SZ,5.0,5.0,516520.SH,826884478.5,516520.SH,516520.SH
399437.SZ,1.0,1.0,159993.SZ,3795074004.6340003,159993.SZ,159993.SZ
399441.SZ,8.0,8.0,159859.SZ,4155450901.168,159859.SZ,159859.SZ
399673.SZ,12.0,12.0,159949.SZ,24082043710.262997,159949.SZ,159949.SZ
399675.SZ,5.0,5.0,517050.SH,228376485.0,517050.SH,159550.SZ
399750.SZ,2.0,1.0,159578.SZ,23598620.58,159578.SZ,159578.SZ
399802.SZ,1.0,0.0,,,159932.SZ,159932.SZ
399812.SZ,1.0,1.0,516560.SH,160133564.0,516560.SH,516560.SH
399814.SZ,1.0,1.0,516550.SH,183592152.0,516550.SH,516550.SH
399850.SZ,2.0,2.0,159350.SZ,201775626.91399997,159350.SZ,159350.SZ
399935.SZ,3.0,3.0,562570.SH,407620722.0,562570.SH,562570.SH
399965.SZ,1.0,1.0,159707.SZ,586143787.362,159707.SZ,159707.SZ
399967.SZ,4.0,4.0,512660.SH,7411231199.999999,512660.SH,512660.SH
399971.SZ,2.0,2.0,512980.SH,4182801554.3999996,512980.SH,512980.SH
399973.SZ,1.0,1.0,512670.SH,1726879638.4,512670.SH,512670.SH
399974.SZ,1.0,0.0,,,159962.SZ,159962.SZ
399975.SZ,1.0,1.0,516980.SH,59142200.0,516980.SH,516980.SH
399986.SZ,13.0,12.0,512800.SH,9860491116.0,512800.SH,512800.SH
399987.SZ,1.0,1.0,512690.SH,13337764234.199999,512690.SH,512690.SH
399989.SZ,5.0,5.0,512170.SH,24289289149.5,512170.SH,512170.SH
399994.SZ,2.0,2.0,159613.SZ,94971883.347,159613.SZ,159613.SZ
399995.SZ,1.0,1.0,516970.SH,1290969292.5,516970.SH,516970.SH
399998.SZ,1.0,1.0,515220.SH,11661229970.0,515220.SH,515220.SH
801120.SI,1.0,1.0,516900.SH,137592439.0,516900.SH,516900.SH
930050.CSI,17.0,17.0,159593.SZ,2504008457.96,159593.SZ,159595.SZ
930598.CSI,4.0,4.0,516150.SH,6484751054.0,516150.SH,516150.SH
930601.CSI,5.0,5.0,159852.SZ,9409368394.517,159852.SZ,159852.SZ
930606.CSI,1.0,1.0,515210.SH,1153884537.0,515210.SH,515210.SH
930608.CSI,3.0,3.0,159635.SZ,137875051.14,159635.SZ,159635.SZ
930633.CSI,2.0,2.0,159766.SZ,3184856066.9839997,159766.SZ,159766.SZ
930641.CSI,4.0,4.0,560080.SH,2176803810.0,560080.SH,560080.SH
930703.CSI,1.0,0.0,,,512350.SH,512350.SH
930709.CSI,1.0,1.0,513090.SH,18277776548.0,513090.SH,513090.SH
930725.CSI,1.0,1.0,159872.SZ,49752475.147999994,159872.SZ,159872.SZ
930781.CSI,2.0,2.0,516620.SH,261795282.5,516620.SH,516620.SH
930850.CSI,1.0,1.0,516800.SH,175015680.0,516800.SH,516800.SH
930851.CSI,10.0,10.0,516510.SH,2509358980.0,516510.SH,516510.SH
930901.CSI,4.0,3.0,159869.SZ,8827649093.319,159869.SZ,159869.SZ
930903.CSI,7.0,6.0,159066.SZ,190990719.705,159066.SZ,563330.SH
930938.CSI,1.0,0.0,,,515510.SH,515510.SH
930939.CSI,3.0,3.0,159606.SZ,536881945.49,159606.SZ,159606.SZ
931000.CSI,2.0,1.0,512970.SH,7411573.6,159978.SZ,512970.SH
931021.CSI,4.0,3.0,159328.SZ,96866988.60000001,159328.SZ,159328.SZ
931023.CSI,1.0,0.0,,,512850.SH,512850.SH
931033.CSI,1.0,1.0,512870.SH,32450548.8,512870.SH,512870.SH
931052.CSI,1.0,1.0,512040.SH,5476999966.2,512040.SH,512040.SH
931053.CSI,1.0,1.0,563180.SH,118093920.0,563180.SH,563180.SH
931068.CSI,4.0,3.0,516130.SH,1090124100.0,516130.SH,516130.SH
931071.CSI,35.0,32.0,159819.SZ,20928153786.708004,159819.SZ,159819.SZ
931079.CSI,2.0,2.0,515050.SH,17527034221.6,515050.SH,515050.SH
931087.CSI,3.0,2.0,517350.SH,43745464.0,517350.SH,517350.SH
931088.CSI,1.0,1.0,510990.SH,43364567.4,510990.SH,510990.SH
931140.CSI,2.0,2.0,515950.SH,503341366.4,515950.SH,515950.SH
931151.CSI,16.0,16.0,515790.SH,4846630140.0,515790.SH,515790.SH
931159.CSI,2.0,1.0,515200.SH,92657294.4,515200.SH,515200.SH
931163.CSI,1.0,0.0,,,159815.SZ,159815.SZ
931165.CSI,1.0,1.0,515860.SH,212926901.0,515860.SH,515860.SH
931166.CSI,1.0,1.0,515960.SH,200153244.6,515960.SH,515960.SH
931167.CSI,1.0,0.0,,,515870.SH,515870.SH
931186.CSI,1.0,1.0,512220.SH,800178615.5999999,512220.SH,512220.SH
931241.CSI,2.0,2.0,515730.SH,33469388.0,515730.SH,512430.SH
931243.CSI,1.0,1.0,560810.SH,230379552.0,560810.SH,560810.SH
931267.CSI,1.0,1.0,159973.SZ,373955911.01000005,159973.SZ,159973.SZ
931268.CSI,1.0,1.0,515090.SH,14733518.8,515090.SH,515090.SH
931372.CSI,1.0,1.0,515760.SH,130255577.99999999,515760.SH,515760.SH
931373.CSI,1.0,0.0,,,515690.SH,515690.SH
931395.CSI,2.0,2.0,517300.SH,943290864.5,517300.SH,517300.SH
931403.CSI,1.0,1.0,561130.SH,87567968.8,561130.SH,561130.SH
931476.CSI,2.0,1.0,516720.SH,10654429.8,516720.SH,516400.SH
931480.CSI,3.0,2.0,159725.SZ,92968041.328,159725.SZ,159725.SZ
931526.CSI,2.0,1.0,561500.SH,43188837.300000004,561500.SH,561500.SH
931554.CSI,2.0,2.0,517330.SH,1734993071.0,517330.SH,517160.SH
931587.CSI,1.0,1.0,159617.SZ,41551509.81200001,159617.SZ,159617.SZ
931590.CSI,1.0,1.0,159620.SZ,36601013.104,159620.SZ,159620.SZ
931594.CSI,7.0,5.0,563230.SH,3654158041.0,563230.SH,563230.SH
931643.CSI,16.0,16.0,159781.SZ,16457202675.386,159781.SZ,159781.SZ
931733.CSI,1.0,1.0,562010.SH,15334310.6,562010.SH,562010.SH
931743.CSI,3.0,3.0,588170.SH,41943582945.0,588170.SH,588170.SH
931752.CSI,15.0,14.0,560280.SH,2208508488.0,560280.SH,560280.SH
931772.CSI,1.0,0.0,,,560960.SH,560960.SH
931775.CSI,1.0,0.0,,,512110.SH,512110.SH
931778.CSI,1.0,1.0,159616.SZ,53115767.376,159616.SZ,159616.SZ
931798.CSI,1.0,1.0,560980.SH,211266030.0,560980.SH,560980.SH
931826.CSI,1.0,1.0,517850.SH,47540574.00000001,517850.SH,517850.SH
931865.CSI,2.0,2.0,561980.SH,5703494100.0,561980.SH,561980.SH
931866.CSI,2.0,2.0,159667.SZ,2281532966.7,159667.SZ,159667.SZ
931994.CSI,1.0,1.0,159326.SZ,19325393381.775,159326.SZ,159326.SZ
932000.CSI,14.0,14.0,563300.SH,6637858930.0,563300.SH,563300.SH
932037.CSI,3.0,3.0,562850.SH,225651412.49999997,562850.SH,562850.SH
932038.CSI,3.0,3.0,560170.SH,468174492.0,560170.SH,560170.SH
932039.CSI,3.0,3.0,560700.SH,549293239.4,560700.SH,560700.SH
932040.CSI,14.0,13.0,589070.SH,2103358942.9999998,589070.SH,588780.SH
932052.CSI,1.0,1.0,159335.SZ,94475337.768,159335.SZ,159335.SZ
932122.CSI,1.0,1.0,159662.SZ,79072464.70199999,159662.SZ,159662.SZ
932315.CSI,1.0,1.0,159758.SZ,1471588578.0099998,159758.SZ,159758.SZ
932420.CSI,1.0,1.0,560710.SH,1590707280.0,560710.SH,560710.SH
950082.CSI,1.0,0.0,,,510820.SH,
950105.CSI,1.0,1.0,510200.SH,171489058.0,510200.SH,510200.SH
950580.CSI,2.0,2.0,530530.SH,153418860.0,530530.SH,530100.SH
970070.SZ,9.0,8.0,159363.SZ,6921803908.8,159363.SZ,159363.SZ
970085.CNI,2.0,0.0,,,,
980018.SZ,1.0,1.0,159206.SZ,12900896576.400002,159206.SZ,159206.SZ
980022.SZ,7.0,7.0,159530.SZ,16790625062.094002,159530.SZ,159530.SZ
980028.SZ,1.0,1.0,159730.SZ,43891051.54,159730.SZ,159730.SZ
980034.CNI,3.0,3.0,159108.SZ,109575278.005,159108.SZ,159108.SZ
