date,action,index_key,etf,shares,price,amount,fee,cash_after,level,ranking,pnl,holding_days
2015-02-09,ENTRY,000032.SH,510610.SH,222400,0.899,199937.6,49.9844,800012.4156,1,bb_z,,
2015-02-25,EXIT_MIDLINE,000032.SH,510610.SH,222400,0.9430000000000001,209723.2,52.430800000000005,1009683.1847999999,1,bb_z,9683.18480000001,16.0
2015-05-19,ENTRY,000029.SH,510030.SH,44400,4.5040000000000004,199977.6,49.994400000000006,809655.5903999999,1,bb_z,,
2015-05-22,EXIT_MIDLINE,000029.SH,510030.SH,44400,4.843,215029.2,53.7573,1024631.0330999999,1,bb_z,14947.84830000001,3.0
2015-06-19,ENTRY,000016.SH,510190.SH,41100,4.865,199951.5,49.987875,824629.5452249999,1,bb_z,,
2015-07-02,ENTRY,399303.SZ,159907.SZ,107700,1.856,199891.2,49.97280000000001,624688.372425,1,bb_z,,
2015-07-02,ENTRY,000009.SH,510290.SH,98900,2.0220000000000002,199975.80000000002,49.993950000000005,424662.57847499993,1,bb_z,,
2015-07-07,ADD,000009.SH,510290.SH,133200,1.5010000000000001,199933.2,49.98330000000001,224679.39517499993,2,bb_z,,
2015-07-07,ADD,399303.SZ,159907.SZ,131400,1.522,199990.8,49.997699999999995,24638.59747499993,2,bb_z,,
2015-07-13,EXIT_MIDLINE,000016.SH,510190.SH,41100,4.321,177593.09999999998,44.398275,202187.2991999999,1,bb_z,-22452.786150000007,24.0
2015-07-20,EXIT_MIDLINE,399303.SZ,159907.SZ,239100,1.749,418185.9,104.546475,620268.6527249999,2,bb_z,18099.383025000046,18.0
2015-07-20,EXIT_MIDLINE,000009.SH,510290.SH,232100,1.868,433562.80000000005,108.39070000000001,1053723.0620249999,2,bb_z,33445.43204999999,18.0
2015-07-28,ENTRY,000063.SH,510110.SH,62600,3.193,199881.80000000002,49.97045000000001,853791.2915749999,1,bb_z,,
2015-07-28,ENTRY,000016.SH,510190.SH,54500,3.665,199742.5,49.935625,653998.8559499999,1,bb_z,,
2015-07-28,ENTRY,000029.SH,510030.SH,47900,4.168,199647.2,49.91180000000001,454301.74414999987,1,bb_z,,
2015-07-28,EXIT_MIDLINE,000029.SH,510030.SH,47900,4.519,216460.1,54.115025,670707.7291249998,1,bb_z,16708.873175,0.0
2015-07-29,ENTRY,000029.SH,510030.SH,46400,4.304,199705.6,49.9264,470952.20272499986,1,bb_z,,
2015-08-10,EXIT_MIDLINE,000016.SH,510190.SH,54500,3.867,210751.5,52.687875,681651.0148499999,1,bb_z,10906.376499999977,13.0
2015-08-10,EXIT_MIDLINE,000029.SH,510030.SH,46400,4.33,200912.0,50.228,882512.7868499999,1,bb_z,1106.245600000018,12.0
2015-09-30,ENTRY,000029.SH,510030.SH,55700,3.585,199684.5,49.921125,682778.3657249999,1,bb_z,,
2015-09-30,ENTRY,000010.SH,510010.SH,215900,0.926,199923.40000000002,49.980850000000004,482804.9848749999,1,bb_z,,
2015-10-08,EXIT_MIDLINE,000029.SH,510030.SH,55700,3.684,205198.80000000002,51.29970000000001,687952.4851749999,1,bb_z,5413.079175000022,8.0
2015-10-08,EXIT_MIDLINE,000010.SH,510010.SH,215900,0.9390000000000001,202730.1,50.682525000000005,890631.90265,1,bb_z,2706.036624999991,8.0
2018-02-06,ENTRY,399330.SZ,159901.SZ,40200,4.968,199713.6,49.9284,690868.3742499999,1,bb_z,,
2018-02-08,ADD,399330.SZ,159901.SZ,42300,4.721,199698.30000000002,49.924575000000004,491120.1496749999,2,bb_z,,
2018-02-12,ADD,399330.SZ,159901.SZ,43200,4.625,199800.0,49.95,291270.19967499987,3,bb_z,,
2018-02-13,ENTRY,000300.SH,510300.SH,51000,3.9210000000000003,199971.0,49.99275,91249.20692499986,1,bb_z,,
2018-02-26,EXIT_MIDLINE,399330.SZ,159901.SZ,125700,5.025,631642.5,157.910625,722733.7962999998,3,bb_z,32122.886399999967,20.0
2018-03-06,EXIT_MIDLINE,000300.SH,510300.SH,51000,4.062,207162.0,51.7905,929844.0057999998,1,bb_z,7089.21675,21.0
2018-03-28,ENTRY,399986.SZ,512800.SH,202800,0.986,199960.8,49.9902,729833.2155999998,1,bb_z,,
2018-04-11,EXIT_MIDLINE,399986.SZ,512800.SH,202800,1.0110000000000001,205030.80000000002,51.25770000000001,934812.7578999999,1,bb_z,4968.7521000000415,14.0
2018-04-18,ENTRY,399330.SZ,159901.SZ,42900,4.657,199785.3,49.946325,734977.5115749999,1,bb_z,,
2018-05-07,EXIT_MIDLINE,399330.SZ,159901.SZ,42900,4.682,200857.80000000002,50.21445000000001,935785.0971249999,1,bb_z,972.3392250000352,19.0
2018-05-15,ENTRY,399967.SZ,512660.SH,246000,0.8130000000000001,199998.0,49.9995,735737.0976249998,1,bb_z,,
2018-05-28,ENTRY,399673.SZ,159949.SZ,301600,0.663,199960.80000000002,49.99020000000001,535726.3074249998,1,bb_z,,
2018-05-29,ADD,399967.SZ,512660.SH,252800,0.791,199964.80000000002,49.991200000000006,335711.5162249998,2,bb_z,,
2018-05-30,ADD,399673.SZ,159949.SZ,309500,0.646,199937.0,49.98425,135724.5319749998,2,bb_z,,
2018-05-31,ADD,399967.SZ,512660.SH,177100,0.766,135658.6,33.91465,32.01732499978971,3,bb_z,,
2018-07-03,EXIT_MIDLINE,399967.SZ,512660.SH,675900,0.7010000000000001,473805.9,118.451475,473719.4658499998,3,bb_z,-62067.856824999995,49.0
2018-07-03,EXIT_MIDLINE,399673.SZ,159949.SZ,611100,0.591,361160.1,90.290025,834789.2758249998,2,bb_z,-38927.96447500006,36.0
2018-09-12,ENTRY,399673.SZ,159949.SZ,395200,0.506,199971.2,49.9928,634768.0830249998,1,bb_z,,
2018-09-13,ENTRY,399330.SZ,159901.SZ,54000,3.6990000000000003,199746.00000000003,49.93650000000001,434972.14652499976,1,bb_z,,
2018-09-21,EXIT_MIDLINE,399330.SZ,159901.SZ,54000,3.797,205038.0,51.2595,639958.8870249998,1,bb_z,5190.803999999979,8.0
2018-09-26,EXIT_MIDLINE,399673.SZ,159949.SZ,395200,0.515,203528.0,50.882,843436.0050249998,1,bb_z,3455.9251999999915,14.0
2018-10-09,ENTRY,399967.SZ,512660.SH,289400,0.6910000000000001,199975.40000000002,49.99385000000001,643410.6111749999,1,bb_z,,
2018-10-11,ADD,399967.SZ,512660.SH,303000,0.66,199980.0,49.995000000000005,443380.61617499986,2,bb_z,,
2018-10-15,ADD,399967.SZ,512660.SH,312000,0.641,199992.0,49.998,243338.61817499987,3,bb_z,,
2018-10-17,ADD,399967.SZ,512660.SH,317900,0.629,199959.1,49.989775,43329.528399999865,4,bb_z,,
2018-11-01,EXIT_MIDLINE,399967.SZ,512660.SH,1222300,0.641,783494.3,195.87357500000002,826627.9548249999,4,bb_z,-16808.050199999987,23.0
2018-12-25,ENTRY,399986.SZ,512800.SH,225900,0.885,199921.5,49.980375,626656.4744499999,1,bb_z,,
2019-01-09,EXIT_MIDLINE,399986.SZ,512800.SH,225900,0.906,204665.4,51.16635,831270.7080999998,1,bb_z,4642.75327499999,15.0
2019-04-26,ENTRY,399967.SZ,512660.SH,257000,0.778,199946.0,49.9865,631274.7215999998,1,bb_z,,
2019-04-30,ADD,399967.SZ,512660.SH,265600,0.753,199996.8,49.999199999999995,431227.9223999998,2,bb_z,,
2019-05-06,ENTRY,000905.SH,510590.SH,37900,5.276,199960.4,49.9901,231217.53229999982,1,bb_z,,
2019-05-07,ADD,399967.SZ,512660.SH,281600,0.71,199936.0,49.984,31231.54829999982,3,bb_z,,
2019-05-08,ADD,000905.SH,510590.SH,6200,5.009,31055.800000000003,7.763950000000001,167.9843499998169,2,bb_z,,
2019-05-22,EXIT_MIDLINE,399967.SZ,512660.SH,804200,0.751,603954.2,150.98855,603971.1957999998,3,bb_z,3774.441749999971,26.0
2019-05-29,EXIT_MIDLINE,000905.SH,510590.SH,44100,5.089,224424.90000000002,56.10622500000001,828339.9895749998,2,bb_z,-6705.16027499997,23.0
