model,level,n_trades,sum_pnl,pct_of_gross_loss,pct_of_total_gross
Model1,worst_1,1,-483587.42,-37.23,-79.58
Model1,worst_3,3,-688192.47,-52.98,-113.25
Model1,worst_5,5,-822869.18,-63.35,-135.42
Model1,worst_10,10,-1004663.62,-77.35,-165.33
Model1,worst_1pct,1,-483587.42,-37.23,-79.58
Model1,worst_5pct,5,-822869.18,-63.35,-135.42
Model1,worst_10pct,10,-1004663.62,-77.35,-165.33
Model2,worst_1,1,-229556.59,-21.7,-52.84
Model2,worst_3,3,-553672.65,-52.33,-127.45
Model2,worst_5,5,-716945.55,-67.76,-165.03
Model2,worst_10,10,-885856.24,-83.73,-203.91
Model2,worst_1pct,1,-229556.59,-21.7,-52.84
Model2,worst_5pct,3,-553672.65,-52.33,-127.45
Model2,worst_10pct,7,-810395.3,-76.6,-186.54
