etf_code,etf_name,exchange,list_date,delist_date,found_date,fund_manager,status,index_code,index_name,index_publisher,publisher_confidence,index_category,asset_class,domestic_a_share_flag,passive_index_flag,cross_mixed_flag,is_csi_publisher,eligible,exclusion_reason,match_level,bench_idx_name,benchmark,data_source,retrieval_date,has_daily,history_start,history_end,n_days,close,daily_amount,adv20,adv60,fund_share,fund_size,premium_max,zero_amt_days,adj_factor_last,last_amount,fund_share_first_date,fund_share_last_date
158028.SZ,招商中证稀有金属主题ETF,SZ,,,20260902,招商基金管理有限公司,L,,中证稀有金属主题,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证稀有金属主题,中证稀有金属主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,False,,,0,,,,,22618.7769,,,0,,,20260828,20260828
562110.SH,东方红中证云计算50ETF,SH,,,20260902,上海东方证券资产管理有限公司,L,,中证云计算50,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证云计算50,中证云计算50指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,False,,,0,,,,,32548.1273,,,0,,,20260828,20260828
158032.SZ,景顺长城中证细分化工产业主题ETF,SZ,,,20260902,景顺长城基金管理有限公司,L,000813.CSI,中证细分化工产业主题,中证指数有限公司,INDEX_BASIC,主题指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L2B_EX_REVSUB,中证细分化工产业主题,中证细分化工产业主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,False,,,0,,,,,27233.5501,,,0,,,20260828,20260828
159025.SZ,华安中证家电龙头ETF,SZ,,,20260902,华安基金管理有限公司,L,931021.CSI,中证家电龙头,中证指数有限公司,INDEX_BASIC,主题指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L2B_EX_REVSUB,中证家电龙头,中证家电龙头指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,False,,,0,,,,,21593.5046,,,0,,,20260828,20260828
561610.SH,鑫元中证绿色电力ETF,SH,,,20260902,鑫元基金管理有限公司,L,,中证绿色电力,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证绿色电力,中证绿色电力指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,False,,,0,,,,,23812.376,,,0,,,20260828,20260828
515440.SH,南方中证A股ETF,SH,,,20260902,南方基金管理股份有限公司,L,930903.CSI,中证A股,中证指数有限公司、上海证券交易所,INDEX_BASIC,综合指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L1_EX_EXACT,中证A股,中证A股指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,False,,,0,,,,,20717.9311,,,0,,,20260828,20260828
562150.SH,鹏华中证全指红利质量ETF,SH,,,20260831,鹏华基金管理有限公司,L,,中证全指红利质量,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证全指红利质量,中证全指红利质量指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,False,,,0,,,,,24756.748,,,0,,,20260826,20260826
589430.SH,华宝上证科创板芯片设计主题ETF,SH,20260904,,20260827,华宝基金管理有限公司,L,932040.CSI,上证科创板芯片设计主题,中证指数有限公司,INDEX_BASIC,主题指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L2B_EX_REVSUB,上证科创板芯片设计主题,上证科创板芯片设计主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,False,,,0,,,,,25684.9936,,,0,,,20260824,20260828
158013.SZ,易方达国证航天航空行业ETF,SZ,20260907,,20260826,易方达基金管理有限公司,L,,国证航天航空行业,深圳证券信息有限公司,RULE_BASED,,EQUITY,True,False,False,False,False,NOT_PASSIVE,L5_RULE,国证航天航空行业,国证航天航空行业指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,False,,,0,,,,,20934.5203,,,0,,,20260821,20260831
561530.SH,银华中证银行ETF,SH,20260903,,20260826,银华基金管理股份有限公司,L,399986.SZ,中证银行,中证指数有限公司,INDEX_BASIC,行业指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L1_EX_EXACT,中证银行,中证银行指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260903,20260903,1,1.01,146756095.0,,,23133.4034,233647374.34,,0,1.0,146756.095,20260821,20260903
158011.SZ,国泰创业板软件ETF,SZ,20260904,,20260826,国泰基金管理有限公司,L,395004.SZ,创业板软件,深圳证券交易所,INDEX_BASIC,其他指数,EQUITY,True,False,False,False,False,NOT_PASSIVE,L2B_EX_REVSUB,创业板软件,创业板软件指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,False,,,0,,,,,20984.2654,,,0,,,20260821,20260828
158027.SZ,易方达中证工业互联网主题ETF,SZ,20260902,,20260824,易方达基金管理有限公司,L,,中证工业互联网主题,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证工业互联网主题,中证工业互联网主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260902,20260903,2,0.978,9655661.899999999,,,20714.3045,202585898.00999996,,0,1.0,9655.6619,20260819,20260903
561690.SH,农银汇理沪深300质量ETF,SH,20260907,,20260821,农银汇理基金管理有限公司,L,,沪深300质量,UNKNOWN,RULE_BASED,,EQUITY,True,False,False,False,False,NOT_PASSIVE,L5_RULE,沪深300质量,沪深300质量指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,False,,,0,,,,,43138.0633,,,0,,,20260817,20260831
158023.SZ,万家中证800红利低波动ETF,SZ,20260907,,20260821,万家基金管理有限公司,L,,中证800红利低波动,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证800红利低波动,中证800红利低波动指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,False,,,0,,,,,35008.0789,,,0,,,20260818,20260831
562180.SH,招商中证A500红利低波动ETF,SH,20260901,,20260821,招商基金管理有限公司,L,,中证A500红利低波动,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证A500红利低波动,中证A500红利低波动指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260901,20260903,3,1.013,13249985.0,,,12515.0,126776949.99999999,,0,1.0,13249.985,20260818,20260903
158010.SZ,嘉实中证医疗ETF,SZ,20260827,,20260819,嘉实基金管理有限公司,L,399989.SZ,中证医疗,中证指数有限公司,INDEX_BASIC,主题指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L1_EX_EXACT,中证医疗,中证医疗指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260827,20260903,6,0.974,1973865.1,,,25321.3319,246629772.706,,0,1.0,1973.8651,20260814,20260903
