config,exit_type,signal_source,period_start,period_end,n_trading_days,n_years,final_equity,total_return_pct,CAGR_pct,annualized_vol_pct,Sharpe,Sortino,MaxDD_pct,Calmar,total_trades,completed_trades,win_rate_pct,avg_trade_pnl,median_trade_pnl,profit_factor,avg_winner_pnl,avg_loser_pnl,payoff_ratio,avg_holding_days,median_holding_days,p90_holding_days,annual_turnover,total_fees,avg_exposure_pct,avg_cash_pct,fully_invested_days_pct
M1 Control,strict_c,etf,2006-05-15,2026-09-03,4941,20.3,392339.17,-60.77,-4.5,16.5,-0.2065,-0.1942,-69.86,-0.0645,235,101,57.43,-6016.44,1258.24,0.5322,11917.17,30205.97,0.3945,166.5,49.0,162.0,4.97,10259.33,75.07,24.93,60.39
M1 Midline,midline,etf,2006-05-15,2026-09-03,4941,20.3,332574.99,-66.74,-5.28,17.58,-0.2317,-0.2131,-71.84,-0.0735,969,428,56.31,-1559.4,979.52,0.6675,5559.7,10734.29,0.5179,23.7,17.0,35.0,21.08,43694.41,46.45,53.55,27.2
M2 Control,strict_c,index,2006-05-15,2026-09-03,4941,20.3,565562.14,-43.44,-2.77,14.78,-0.1222,-0.1074,-50.06,-0.0553,192,73,54.79,-5951.2,2392.64,0.5894,15588.98,32060.52,0.4862,211.7,51.0,170.6,3.6,9577.44,71.13,28.87,38.98
M2 Midline,midline,index,2006-05-15,2026-09-03,4941,20.3,793142.45,-20.69,-1.13,13.48,-0.021,-0.0148,-35.26,-0.0322,496,197,63.45,-1050.04,2706.04,0.8263,7871.58,16538.95,0.4759,55.9,16.0,34.4,9.7,27353.23,47.22,52.78,22.81
