year,start_equity,end_equity,return_pct
2006,1000000.0,1033988.255925,3.398825592499999
2007,1033988.255925,1196466.924675,15.713782803523957
2008,1196587.724675,455560.76087500004,-61.928344117124134
2009,466314.360875,643978.3963,38.09962770428692
2010,634223.8963,596368.8782749999,-5.968715188097229
2011,605650.8782749999,463694.07850000006,-23.438717727829893
2012,454408.7785,503244.158375,10.74701506344249
2013,503244.158375,492341.01437499997,-2.166571398505013
2014,490060.914375,531750.03455,8.506926170222794
2015,531750.03455,471106.47189999995,-11.404524440006924
2016,471106.47189999995,471106.47189999995,0.0
2017,471106.47189999995,471106.47189999995,0.0
2018,471106.47189999995,456768.335,-3.0435024257199017
2019,453609.13499999995,462390.9409,1.9359852398034283
2020,462390.9409,468384.502825,1.296210932103059
2021,471127.702825,450066.74977500003,-4.470327880044667
2022,443200.149775,398649.6220000001,-10.052010992689631
2023,400960.022,402661.47070000006,0.4243437267169803
2024,400936.47070000006,395829.48992500006,-1.2737630892205143
2025,393027.78992500005,402755.80475,2.4751468151543055
2026,404402.51975000004,392526.35387500003,-2.9367190595997794
