model,trade_count,mean_return_pct,median_return_pct,win_rate_pct,loss_rate_pct,P1_pct,P5_pct,P10_pct,P25_pct,P50_pct,P75_pct,P90_pct,P95_pct,P99_pct,best_trade_pct,worst_trade_pct,gross_profit,gross_loss,profit_factor
Model1,101,-1.67,0.96,57.43,42.57,-60.21,-22.84,-10.9,-5.11,0.96,5.07,8.01,11.22,16.22,18.58,-60.48,691195.8,-1298856.63,0.5322
Model2,73,-0.34,1.2,54.79,45.21,-26.62,-22.84,-9.67,-4.43,1.2,3.87,6.96,11.59,30.08,64.92,-34.54,623559.33,-1057997.19,0.5894
