config,total_return_pct,CAGR_pct,ann_vol_pct,Sharpe,MaxDD_pct
M1 Control,-14.4,-3.06,7.66,-0.3838,-21.85
M1 Midline,-37.13,-8.87,17.58,-0.4614,-45.49
M2 Control,-11.22,-2.35,6.97,-0.3206,-18.27
M2 Midline,-10.18,-2.13,12.38,-0.119,-28.07
