model,total_trades,pct_hit_mid,pct_hit_upper,pct_winners_hit_mid,pct_losers_hit_mid,pct_winners_hit_upper,pct_losers_hit_upper,median_days_to_mid,median_days_to_upper,pct_hit_mid_never_upper,pct_hit_mid_then_failed,pct_never_hit_mid,mean_mfe_at_mid_pct
Model1,101,100.0,60.4,100.0,100.0,67.2,51.2,20.0,46.0,39.6,42.6,0.0,16.45
Model2,73,100.0,57.5,100.0,100.0,57.5,57.6,23.0,51.5,42.5,45.2,0.0,13.51
