date,stock_n,stock_bbz_std,stock_bbz_iqr,etf_n,etf_bbz_std,etf_bbz_iqr
2020-05-22,16,0.1410139726484037,0.22782907479084802,11,0.12426463068767186,0.20477719594116373
2020-05-25,9,0.1837555987612561,0.19449574648341006,8,0.22274762268538367,0.3932086612913688
2020-09-07,60,0.3356026018342489,0.3486489490037501,13,0.1749122329035314,0.2159692843231622
2020-09-08,93,0.3186794170513924,0.4353703186712763,7,0.1954544416560249,0.37127351457093827
2020-09-09,33,0.33684378687707023,0.336496801955275,64,0.2914955794637337,0.545595196342004
2020-09-10,26,0.3276679306626321,0.4404476542871105,66,0.30510016538002077,0.45181499086425747
2020-09-11,20,0.1897919978917297,0.33319274968818346,9,0.07787878725229562,0.09459436288588385
2020-09-24,21,0.2781095440214922,0.29539469981137767,6,0.18331797076757836,0.2662628861110723
2020-10-26,92,0.23010636728220324,0.24081371970151233,6,0.2220436423220825,0.1779382213283518
2020-10-27,18,0.15008870897178253,0.13503612846475788,5,0.05137141620828811,0.08536295275223793
2020-10-30,12,0.20502248379180035,0.28351791759152967,8,0.10198056449503941,0.15747719545742278
2020-11-02,5,0.3405357163915994,0.31877864412680346,6,0.05618928699191862,0.058394883131350106
2020-11-18,26,0.30839728727027504,0.39222078528236226,5,0.11077570454370644,0.056625415980321225
2020-12-11,332,0.21243624416452506,0.26109675057579507,20,0.2678237901251562,0.37361952074939264
2020-12-14,82,0.33001198769512824,0.27636888257662795,5,0.19054112923377564,0.28487330399855093
2020-12-16,98,0.276692810677369,0.26387475746793054,5,0.1559962035917234,0.26140551668254863
2020-12-22,74,0.2781578279253759,0.27695563654475963,5,0.11786161381052263,0.17437782129359514
2021-01-28,126,0.2108329573966432,0.26317729725067984,9,0.1455877778547783,0.16633588658025644
2021-01-29,492,0.27001852719109803,0.3212587058995302,33,0.12447295056472005,0.18323879543788602
2021-02-04,1044,0.24470077300795604,0.3143637435243698,12,0.23263795872295892,0.1494510439308261
2021-02-05,826,0.26179753746218565,0.2729610781878473,21,0.17947996103831546,0.2188117179619824
