horizon,count,mean,median,p25,p75,win_rate
1,809,0.033,0.215,-1.128,1.399,53.6
3,809,0.253,0.399,-1.408,2.473,55.9
5,809,0.354,0.586,-1.979,3.065,56.0
10,809,1.043,0.878,-1.561,4.617,58.3
20,809,2.214,2.094,-2.009,6.427,62.2
