config,signal_source,ranking,period_start,period_end,n_trading_days,n_years,final_equity,total_return_pct,CAGR_pct,annualized_vol_pct,Sharpe,Sortino,MaxDD_pct,Calmar,total_trades,completed_trades,win_rate_pct,avg_trade_pnl,median_trade_pnl,profit_factor,avg_winner_pnl,avg_loser_pnl,payoff_ratio,avg_holding_days,annual_turnover,total_fees,avg_exposure_pct,median_exposure_pct,fully_invested_days_pct,lt25_invested_days_pct,lt50_invested_days_pct
M1 Amount,etf,amount,2006-05-15,2026-09-03,4941,20.3,828633.94,-17.14,-0.92,8.63,-0.0676,-0.0478,-32.22,-0.0286,487,191,63.87,-897.2,2458.39,0.8131,6111.5,13289.41,0.4599,39.5,9.41,28431.58,24.76,19.92,4.65,72.13,78.83
M1 BB_Z,etf,bb_z,2006-05-15,2026-09-03,4941,20.3,703520.99,-29.65,-1.72,8.59,-0.1652,-0.1118,-40.76,-0.0421,437,179,59.22,-1656.31,2027.58,0.6673,5608.81,12205.66,0.4595,33.2,8.82,24331.5,21.74,0.0,5.44,71.04,76.95
M2 Amount,index,amount,2006-05-15,2026-09-03,4941,20.3,965349.24,-3.47,-0.17,8.93,0.0242,0.0132,-26.85,-0.0065,309,119,68.07,-291.18,3329.66,0.9371,6375.22,14501.15,0.4396,67.2,5.86,18126.37,28.7,18.68,15.93,71.16,75.65
M2 BB_Z,index,bb_z,2006-05-15,2026-09-03,4941,20.3,904854.17,-9.51,-0.49,8.87,-0.013,-0.008,-29.2,-0.0168,384,148,63.51,-642.88,3291.52,0.8718,6880.61,13739.31,0.5008,51.0,7.29,22754.39,23.94,18.33,4.37,71.46,80.85
