asset_class,n_days,zero_signal_days_pct,median_signal_ratio_pct,p75_pct,p90_pct,p95_pct,max_pct,days_ge5_pct,days_ge10_pct,days_ge25_pct,days_ge50_pct
stock,1132,0.0,1.71,4.62,12.97,23.09,77.07,23.5,13.0,4.2,0.9
etf,494,0.0,6.05,15.97,34.22,46.81,90.85,54.3,35.6,14.4,3.8
