date,eligible_count,n_signal,open_positions,n_entries,n_exits,invested_pct
2012-11-16,6,2,3,1,0,0.9998377457570599
2012-11-19,6,1,3,0,0,0.9998374306291755
2012-11-20,6,0,3,0,0,0.9998371709746143
2012-11-21,6,0,3,0,0,0.9998388021236726
2012-11-22,6,0,3,0,0,0.9998379114918271
2012-11-23,6,0,3,0,0,0.9998388106567238
2012-11-26,6,0,3,0,0,0.999837966173276
2012-11-27,6,1,3,0,0,0.9998366549545945
2012-11-28,6,1,3,0,0,0.999835455993307
2012-11-29,6,1,3,0,0,0.9998349410166342
2012-11-30,6,0,3,0,0,0.9998357788154344
2012-12-03,6,0,3,0,0,0.9998339874473022
2012-12-04,6,0,3,0,0,0.9998353505672067
2012-12-05,6,0,3,0,0,0.9998398686600024
2012-12-06,6,0,3,0,0,0.9998396519583326
2012-12-07,6,0,2,0,1,0.5494747230584281
2012-12-10,6,0,2,0,0,0.5515725784137924
2012-12-11,6,0,2,0,0,0.550376202615498
2012-12-12,6,0,2,0,0,0.550675894638871
2012-12-13,6,0,2,0,0,0.5491734260314612
2012-12-14,6,0,1,0,1,0.1991674409567855
2012-12-17,6,0,1,0,0,0.1991674409567855
2012-12-18,6,0,1,0,0,0.1991674409567855
2012-12-19,6,0,1,0,0,0.1991674409567855
2012-12-20,6,0,1,0,0,0.1991674409567855
2012-12-21,6,0,1,0,0,0.1991674409567855
2012-12-24,6,0,1,0,0,0.1991674409567855
2012-12-25,6,0,1,0,0,0.1991674409567855
2012-12-26,6,0,1,0,0,0.1991674409567855
2012-12-27,6,0,1,0,0,0.1991674409567855
2012-12-28,6,0,1,0,0,0.1991674409567855
2012-12-31,6,0,1,0,0,0.1991674409567855
2013-01-04,6,0,1,0,0,0.1991674409567855
2013-01-07,6,0,1,0,0,0.1991674409567855
2013-01-08,7,0,1,0,0,0.1991674409567855
2013-01-09,7,0,1,0,0,0.1991674409567855
2013-01-10,7,0,1,0,0,0.1991674409567855
2013-01-11,7,0,1,0,0,0.1991674409567855
2013-01-14,7,0,1,0,0,0.1991674409567855
2013-01-15,7,0,1,0,0,0.1991674409567855
2013-01-16,7,0,1,0,0,0.1991674409567855
2013-01-17,7,0,1,0,0,0.1991674409567855
2013-01-18,7,0,1,0,0,0.1991674409567855
2013-01-21,7,0,1,0,0,0.1991674409567855
2013-01-22,7,0,1,0,0,0.1991674409567855
2013-01-23,7,0,1,0,0,0.1991674409567855
2013-01-24,7,0,1,0,0,0.1991674409567855
2013-01-25,7,0,1,0,0,0.1991674409567855
2013-01-28,7,0,1,0,0,0.1991674409567855
2013-01-29,7,0,1,0,0,0.1991674409567855
2013-01-30,7,0,1,0,0,0.1991674409567855
2013-01-31,7,0,1,0,0,0.1991674409567855
2013-02-01,7,0,1,0,0,0.1991674409567855
2013-02-04,7,0,1,0,0,0.1991674409567855
2013-02-05,7,0,1,0,0,0.1991674409567855
2013-02-06,7,0,1,0,0,0.1991674409567855
2013-02-07,7,0,1,0,0,0.1991674409567855
2013-02-08,7,0,1,0,0,0.1991674409567855
2013-02-18,7,0,1,0,0,0.1991674409567855
2013-02-19,7,0,1,0,0,0.1991674409567855
2013-02-20,7,0,1,0,0,0.1991674409567855
2013-02-21,8,0,1,0,0,0.1991674409567855
2013-02-22,8,0,1,0,0,0.1991674409567855
2013-02-25,8,0,1,0,0,0.1991674409567855
2013-02-26,8,0,1,0,0,0.1991674409567855
2013-02-27,8,0,1,0,0,0.1991674409567855
2013-02-28,8,0,1,0,0,0.1991674409567855
2013-03-01,8,0,1,0,0,0.1991674409567855
2013-03-04,8,2,1,0,0,0.1991674409567855
2013-03-05,8,0,3,2,0,0.9942127625771493
2013-03-06,8,0,3,0,0,0.9942608480919585
2013-03-07,8,0,3,0,0,0.9942386321512063
2013-03-08,8,0,3,0,0,0.9942002698365244
2013-03-11,8,0,3,0,0,0.9941891095608614
2013-03-12,8,0,3,0,0,0.9941294996638821
2013-03-13,8,0,3,0,0,0.9940780748065674
2013-03-14,8,0,3,0,0,0.994080617087072
2013-03-15,8,0,3,0,0,0.994076634789428
2013-03-18,8,0,3,0,0,0.9940426891893995
2013-03-19,8,0,3,0,0,0.9940573193753272
2013-03-20,8,0,3,0,0,0.9942002698365244
2013-03-21,8,0,3,0,0,0.9942127625771493
2013-03-22,8,0,3,0,0,0.9942252016142011
2013-03-25,8,0,3,0,0,0.9942189887869554
2013-03-26,8,0,3,0,0,0.9941652624066414
2013-03-27,8,0,3,0,0,0.9941641907646677
2013-03-28,8,2,3,0,0,0.9940444855597943
2013-03-29,8,0,3,0,0,0.9940086961757424
2013-04-01,8,0,3,0,0,0.9940275476409948
2013-04-02,8,0,3,0,0,0.9940352984454985
2013-04-03,8,0,3,0,0,0.9940283284394766
2013-04-08,8,0,3,0,0,0.9940075662448441
2013-04-09,8,0,3,0,0,0.9940444855597943
2013-04-10,8,0,3,0,0,0.9940312549168755
2013-04-11,8,0,3,0,0,0.9940127703165491
2013-04-12,8,0,3,0,0,0.9939728220721923
2013-04-15,8,0,3,0,0,0.9939128788779176
2013-04-16,8,0,3,0,0,0.993975455505621
2013-04-17,8,0,3,0,0,0.9940034850160977
2013-04-18,8,0,3,0,0,0.9940116419219995
2013-04-19,8,0,3,0,0,0.9941147967328312
2013-04-22,8,0,3,0,0,0.9941033047598384
2013-04-23,8,0,3,0,0,0.9939554734747187
2013-04-24,8,0,3,0,0,0.9940370992752015
2013-04-25,8,0,3,0,0,0.9939678968919496
2013-04-26,8,1,3,0,0,0.9939135887289691
2013-05-02,8,0,3,1,0,0.9999267943571207
2013-05-03,8,0,3,0,0,0.999927794692992
2013-05-06,8,0,3,0,0,0.9999288158549154
2013-05-07,8,0,2,0,1,0.5982815877458475
2013-05-08,8,0,1,0,1,0.19813829532860586
2013-05-09,8,0,1,0,0,0.19813829532860586
2013-05-10,8,0,1,0,0,0.19813829532860586
2013-05-13,8,0,1,0,0,0.19813829532860586
2013-05-14,8,0,1,0,0,0.19813829532860586
2013-05-15,8,0,1,0,0,0.19813829532860586
2013-05-16,8,0,1,0,0,0.19813829532860586
2013-05-17,8,0,1,0,0,0.19813829532860586
2013-05-20,8,0,1,0,0,0.19813829532860586
2013-05-21,8,0,1,0,0,0.19813829532860586
2013-05-22,8,0,1,0,0,0.19813829532860586
2013-05-23,8,0,1,0,0,0.19813829532860586
2013-05-24,8,0,1,0,0,0.19813829532860586
2013-05-27,8,0,1,0,0,0.19813829532860586
2013-05-28,8,0,1,0,0,0.19813829532860586
2013-05-29,8,0,1,0,0,0.19813829532860586
2013-05-30,8,0,1,0,0,0.19813829532860586
2013-05-31,8,0,1,0,0,0.19813829532860586
2013-06-03,8,0,1,0,0,0.19813829532860586
2013-06-04,8,0,1,0,0,0.19813829532860586
2013-06-05,8,0,1,0,0,0.19813829532860586
2013-06-06,7,0,1,0,0,0.19813829532860586
2013-06-07,7,1,1,0,0,0.19813829532860586
2013-06-13,8,6,2,1,0,0.5910936424602051
2013-06-14,8,5,3,1,0,0.9887568433620456
2013-06-17,8,5,3,1,0,0.9997653961807089
2013-06-18,9,0,3,0,0,0.9997666130426424
2013-06-19,9,0,3,0,0,0.9997652532346863
2013-06-20,9,6,3,0,0,0.9997591866814517
2013-06-21,9,0,3,0,0,0.9997585635301294
2013-06-24,8,8,3,0,0,0.9997459711097089
2013-06-25,8,6,3,0,0,0.9997463384308393
2013-06-26,8,0,3,0,0,0.9997447519318631
2013-06-27,8,0,3,0,0,0.9997451877141736
2013-06-28,8,0,3,0,0,0.9997498445341221
2013-07-01,7,0,3,0,0,0.9997499268927106
2013-07-02,8,0,3,0,0,0.9997497963510502
2013-07-03,7,0,3,0,0,0.9997486956874404
2013-07-04,7,0,3,0,0,0.9997501538702515
2013-07-05,7,0,3,0,0,0.9997510006660627
2013-07-08,7,0,3,0,0,0.999746468225801
2013-07-09,7,0,3,0,0,0.999745984737235
2013-07-10,7,0,3,0,0,0.999751402339038
2013-07-11,7,0,3,0,0,0.9997620084893935
2013-07-12,7,0,3,0,0,0.9997565988209973
2013-07-15,7,0,3,0,0,0.9997588964498976
2013-07-16,7,0,3,0,0,0.9997594661646262
2013-07-17,7,0,3,0,0,0.9997568013634963
2013-07-18,7,0,3,0,0,0.9997532455998588
2013-07-19,7,0,3,0,0,0.9997481371786513
2013-07-22,7,0,3,0,0,0.9997488849585981
2013-07-23,7,0,3,0,0,0.9997545618670826
2013-07-24,7,0,3,0,0,0.9997526235938236
2013-07-25,7,0,3,0,0,0.9997523043602727
2013-07-26,6,0,3,0,0,0.9997508396331947
2013-07-29,6,0,3,0,0,0.9997464897906534
2013-07-30,6,0,3,0,0,0.9997481572723015
2013-07-31,6,0,3,0,0,0.9997485061307514
2013-08-01,6,0,3,0,0,0.9997533684241731
2013-08-02,8,0,3,0,0,0.9997530757247347
2013-08-05,8,0,3,0,0,0.9997554998056477
2013-08-06,8,0,3,0,0,0.9997562462656232
2013-08-07,8,0,3,0,0,0.9997551585559562
2013-08-08,8,0,3,0,0,0.999755020746632
2013-08-09,8,0,3,0,0,0.9997559781103021
2013-08-12,8,0,1,0,2,0.20421179188324504
2013-08-13,8,0,1,0,0,0.20421179188324504
2013-08-14,8,0,1,0,0,0.20421179188324504
2013-08-15,8,0,1,0,0,0.20421179188324504
2013-08-16,8,1,1,0,0,0.20421179188324504
2013-08-19,8,0,2,1,0,0.6151694424350415
2013-08-20,8,0,2,0,0,0.6133945163590903
2013-08-21,8,0,2,0,0,0.6136914734932455
2013-08-22,8,0,2,0,0,0.6147272405677594
2013-08-23,8,0,2,0,0,0.6160508078860762
2013-08-26,8,0,2,0,0,0.618091710784534
2013-08-27,8,0,2,0,0,0.6182366596333999
2013-08-28,8,0,2,0,0,0.6132458665219525
2013-08-29,8,0,2,0,0,0.6127992303479928
2013-08-30,8,0,2,0,0,0.6100975989775257
2013-09-02,8,0,2,0,0,0.6105504859149711
2013-09-03,8,0,2,0,0,0.6130971023290981
2013-09-04,8,0,2,0,0,0.6110023219811491
