index_key,cluster
516190.SH,7
516260.SH,12
516270.SH,4
516320.SH,4
516330.SH,12
516350.SH,14
516360.SH,3
516400.SH,50
516460.SH,19
516510.SH,8
516520.SH,10
516550.SH,33
516560.SH,32
516570.SH,6
516590.SH,3
516600.SH,32
516610.SH,31
516620.SH,7
516640.SH,14
516700.SH,8
516720.SH,2
516730.SH,27
516780.SH,6
516790.SH,31
516800.SH,14
516810.SH,33
516820.SH,31
516830.SH,2
516860.SH,8
516900.SH,32
516910.SH,35
516950.SH,20
516960.SH,4
516970.SH,20
516980.SH,27
517090.SH,24
517160.SH,5
517180.SH,24
517330.SH,5
517900.SH,22
530100.SH,51
530380.SH,45
530530.SH,46
530580.SH,2
530680.SH,2
560030.SH,21
560080.SH,30
560120.SH,19
560170.SH,16
560180.SH,2
560210.SH,47
560280.SH,20
560300.SH,15
560330.SH,21
560500.SH,17
560570.SH,48
560650.SH,1
560660.SH,8
560690.SH,15
560700.SH,24
560710.SH,44
560800.SH,14
560810.SH,20
560850.SH,8
560960.SH,3
560980.SH,4
560990.SH,12
561010.SH,8
561060.SH,24
561100.SH,12
561130.SH,1
561150.SH,39
561160.SH,4
561170.SH,18
561180.SH,2
561190.SH,3
561220.SH,14
561260.SH,18
561310.SH,12
561320.SH,35
561350.SH,17
561500.SH,1
561510.SH,30
561580.SH,24
561600.SH,12
561710.SH,31
561790.SH,18
561800.SH,6
561910.SH,4
561980.SH,14
562000.SH,2
562010.SH,4
562030.SH,8
562050.SH,31
562080.SH,24
562260.SH,10
562310.SH,1
562320.SH,21
562330.SH,35
562360.SH,10
562380.SH,16
562500.SH,10
562520.SH,17
562530.SH,35
562550.SH,18
562570.SH,8
562580.SH,11
562700.SH,10
562800.SH,6
562820.SH,14
562850.SH,18
562860.SH,31
562880.SH,4
562900.SH,33
562910.SH,4
562920.SH,8
562950.SH,12
562990.SH,3
563010.SH,15
563060.SH,20
563180.SH,24
563230.SH,40
563300.SH,17
563320.SH,41
563330.SH,1
563360.SH,1
563380.SH,42
563560.SH,43
563580.SH,19
563700.SH,24
563890.SH,38
563960.SH,36
563980.SH,37
563990.SH,19
588000.SH,14
588010.SH,16
588020.SH,16
588030.SH,16
588100.SH,14
588110.SH,16
588160.SH,16
588170.SH,14
588200.SH,14
588220.SH,16
588230.SH,16
588240.SH,16
588380.SH,13
588770.SH,14
588780.SH,14
588800.SH,16
588830.SH,4
588850.SH,16
588910.SH,16
589000.SH,16
589180.SH,16
589500.SH,16
589550.SH,16
589600.SH,16
589680.SH,16
589800.SH,16
589880.SH,16
589890.SH,16
589900.SH,16
