metric,value
A1_ONLY n,58.0
top5 dates share,0.138
top10 dates share,0.224
n distinct signal dates,55.0
year 2020 pnl,58607.0
year 2021 pnl,-27018.0
year 2022 pnl,-31943.0
year 2023 pnl,-119072.0
year 2024 pnl,817.0
