grp,n,mean,median,win
A0_ONLY,5,-1.9666132381605728,-4.04018826584394,40.0
A1_ONLY,31,3.265288936026368,6.430946014868081,67.74193548387096
COMMON,45,4.327140232785494,3.7666645298140864,80.0
