pred_a,pred_b,avg_cross_sectional_rank_corr,n_days,redundant
F01,F02,0.8787350043955073,630,True
F01,F03,0.3637330149702935,630,False
F01,F04,0.23018223532856727,630,False
F01,F05,0.16076719491821514,630,False
F01,F06,0.1191122958814448,629,False
F01,F07,0.14327202579085496,630,False
F01,F08,-0.02111008230015838,630,False
F01,F09,-0.001494213239331958,630,False
F01,F10,-0.10501413758454664,630,False
F01,F11,-0.3653858240284222,630,False
F01,F12,0.05991610366925304,630,False
F01,F13,-0.24319246639577005,630,False
F01,F14,0.14256258041085457,629,False
F01,F15,0.3637330149702935,630,False
F01,F16,0.16076719491821514,630,False
F01,F17,0.1191122958814448,629,False
F02,F03,0.5142188230472255,630,False
F02,F04,0.457063218713588,630,False
F02,F05,0.41608905160029985,630,False
F02,F06,0.306245654945907,629,False
F02,F07,0.45981180417531176,630,False
F02,F08,-0.2850426480119956,630,False
F02,F09,-0.2672312198463333,630,False
F02,F10,-0.20692975730710172,630,False
F02,F11,-0.32730885041395247,630,False
F02,F12,0.04547880506515151,630,False
F02,F13,-0.4065347795922718,630,False
F02,F14,0.2054391932723724,629,False
F02,F15,0.5142188230472255,630,False
F02,F16,0.41608905160029985,630,False
F02,F17,0.306245654945907,629,False
F03,F04,0.5293872954090199,630,False
F03,F05,0.4462460199640189,630,False
F03,F06,0.2909445449225532,629,False
F03,F07,0.5265194166555798,630,False
F03,F08,-0.5086570812597059,630,False
F03,F09,-0.46145889163454523,630,False
F03,F10,-0.3504973944853568,630,False
F03,F11,-0.402680494117337,630,False
F03,F12,0.22588533406817748,630,False
F03,F13,-0.7159321032899596,630,False
F03,F14,0.27420682979647043,629,False
F03,F15,1.0,630,True
F03,F16,0.4462460199640189,630,False
F03,F17,0.2909445449225532,629,False
F04,F05,0.6722135443286918,630,False
F04,F06,0.3579016391390926,629,False
F04,F07,0.7210042079532043,630,False
F04,F08,-0.6789765925509639,630,False
F04,F09,-0.6263704042513394,630,False
F04,F10,-0.30742148980011025,630,False
F04,F11,-0.1603140080541783,630,False
F04,F12,-0.02775708616088812,630,False
F04,F13,-0.5361012745680579,630,False
F04,F14,0.2648487913081759,629,False
F04,F15,0.5293872954090199,630,False
F04,F16,0.6722135443286918,630,False
F04,F17,0.3579016391390926,629,False
F05,F06,0.3596508618724614,629,False
F05,F07,0.7598331338235714,630,False
F05,F08,-0.6656020781721078,630,False
F05,F09,-0.6445719475882418,630,False
F05,F10,-0.2928041190601219,630,False
F05,F11,-0.06063342218806573,630,False
F05,F12,-0.023471333122385026,630,False
F05,F13,-0.464596118113569,630,False
F05,F14,0.226105173247007,629,False
F05,F15,0.4462460199640189,630,False
F05,F16,1.0,630,True
F05,F17,0.3596508618724614,629,False
F06,F07,0.5413481985499297,629,False
F06,F08,-0.279091718622219,629,False
F06,F09,-0.33067079176040126,629,False
F06,F10,-0.14534379823666604,629,False
F06,F11,-0.10267344068805313,629,False
F06,F12,-0.015516154669998389,629,False
F06,F13,-0.2975029660996418,629,False
F06,F14,0.11982439893904871,628,False
F06,F15,0.2909445449225532,629,False
F06,F16,0.3596508618724614,629,False
F06,F17,1.0,629,True
F07,F08,-0.733750370563409,630,False
F07,F09,-0.7344853677583761,630,False
F07,F10,-0.3177249771699808,630,False
F07,F11,-0.045787971960540096,630,False
F07,F12,-0.04064319932827883,630,False
F07,F13,-0.5423344716753713,630,False
F07,F14,0.24893762221254054,629,False
F07,F15,0.5265194166555798,630,False
F07,F16,0.7598331338235714,630,False
F07,F17,0.5413481985499297,629,False
F08,F09,0.8742042304588581,630,True
F08,F10,0.31134645787457205,630,False
F08,F11,-0.05096692660030338,630,False
F08,F12,0.01407413473635048,630,False
F08,F13,0.5609571590318557,630,False
F08,F14,-0.2563159437398043,629,False
F08,F15,-0.5086570812597059,630,False
F08,F16,-0.6656020781721078,630,False
F08,F17,-0.279091718622219,629,False
F09,F10,0.2953173243563053,630,False
F09,F11,-0.12683390033280217,630,False
F09,F12,0.037972234179842156,630,False
F09,F13,0.5656082722696507,630,False
F09,F14,-0.1986210963549358,629,False
F09,F15,-0.46145889163454523,630,False
F09,F16,-0.6445719475882418,630,False
F09,F17,-0.33067079176040126,629,False
F10,F11,0.26900633938167007,630,False
F10,F12,0.06435759966163734,630,False
F10,F13,0.34522799470722226,630,False
F10,F14,-0.14761065892966188,629,False
F10,F15,-0.3504973944853568,630,False
F10,F16,-0.2928041190601219,630,False
F10,F17,-0.14534379823666604,629,False
F11,F12,0.009143677671142676,630,False
F11,F13,0.3572284930890404,630,False
F11,F14,-0.13402570866638774,629,False
F11,F15,-0.402680494117337,630,False
F11,F16,-0.06063342218806573,630,False
F11,F17,-0.10267344068805313,629,False
F12,F13,-0.0037138024268396656,630,False
F12,F14,-0.15333185742902103,629,False
F12,F15,0.22588533406817748,630,False
F12,F16,-0.023471333122385026,630,False
F12,F17,-0.015516154669998389,629,False
F13,F14,-0.08009001632112607,629,False
F13,F15,-0.7159321032899596,630,False
F13,F16,-0.464596118113569,630,False
F13,F17,-0.2975029660996418,629,False
F14,F15,0.27420682979647043,629,False
F14,F16,0.226105173247007,629,False
F14,F17,0.11982439893904871,628,False
F15,F16,0.4462460199640189,630,False
F15,F17,0.2909445449225532,629,False
F16,F17,0.3596508618724614,629,False
