feature_id,crowding,n_days,mean_cs_ic
F01,LOW,184,0.022981366459627336
F01,MID,219,0.003613756870572139
F01,HIGH,227,0.010077016619129273
F02,LOW,184,-0.007091097308488607
F02,MID,219,-0.029979432006214297
F02,HIGH,227,-0.04415841720138323
F03,LOW,184,0.06617494824016563
F03,MID,219,-0.06083711597845269
F03,HIGH,227,-0.0898761290365265
F04,LOW,184,0.02175207039337473
F04,MID,219,-0.06980993895175898
F04,HIGH,227,-0.09150563824008369
F05,LOW,184,0.011840062111801233
F05,MID,219,-0.06082239276876407
F05,HIGH,227,-0.09211531992021887
F06,LOW,184,0.045005175983436854
F06,MID,218,-0.05552684601952822
F06,HIGH,227,-0.10895276866701496
F07,LOW,184,0.01837474120082816
F07,MID,219,-0.08135402935901627
F07,HIGH,227,-0.12470555339374997
F08,LOW,184,0.029994824016563157
F08,MID,219,0.07722274703682087
F08,HIGH,227,0.11195275795015659
F09,LOW,184,0.03559782608695654
F09,MID,219,0.08422334115692967
F09,HIGH,227,0.1338024978456368
F10,LOW,184,-0.009290890269151144
F10,MID,219,0.009864445473231438
F10,HIGH,227,0.007490158636015855
F11,LOW,184,-0.05537008281573499
F11,MID,219,0.03470399088950117
F11,HIGH,227,-0.016988401304060326
F12,LOW,184,-0.05467558233955905
F12,MID,219,0.0077032734150645436
F12,HIGH,227,0.002403831194121708
F13,LOW,184,-0.034525061973388955
F13,MID,219,0.0755174899648853
F13,HIGH,227,0.11085523808991261
F14,LOW,183,0.08596572940677988
F14,MID,219,0.01014480591111221
F14,HIGH,227,-0.015133322978054801
F15,LOW,184,0.06617494824016563
F15,MID,219,-0.06083711597845269
F15,HIGH,227,-0.0898761290365265
F16,LOW,184,0.011840062111801233
F16,MID,219,-0.06082239276876407
F16,HIGH,227,-0.09211531992021887
F17,LOW,184,0.045005175983436854
F17,MID,218,-0.05552684601952822
F17,HIGH,227,-0.10895276866701496
