feature_id,n_pairs,pairwise_accuracy_oriented_pct,pairwise_accuracy_pct
F01,756261,50.364093877642766,50.364093877642766
F02,756262,48.53595711539123,51.46404288460877
F03,756223,46.57448927102191,53.42551072897809
F04,756247,46.44064703727751,53.55935296272249
F05,756256,46.51229213388059,53.48770786611941
F06,755967,46.001214338721134,53.99878566127887
F07,756261,45.379703567948106,54.620296432051894
F08,756262,54.357484575451366,54.357484575451366
F09,756260,55.073387459339386,55.073387459339386
F10,756261,50.187964208123915,50.187964208123915
F11,756262,49.51207385800159,50.48792614199841
F12,743312,49.784881718578475,49.784881718578475
F13,756248,54.12563074546974,54.12563074546974
F14,738637,49.446615861377104,49.446615861377104
F15,756226,46.61410742291325,46.61410742291325
F16,756250,46.537123966942154,46.537123966942154
F17,755962,45.96950640376104,45.96950640376104
