feature_id,quintile,n_episodes,mean_return_pct,median_return_pct,win_rate_pct
F01,1,6733,5.342031877242729,5.557093997050897,78.95440368335066
F01,2,6935,5.605351468071121,5.409192133761436,79.66834895457822
F01,3,6944,5.434610128966388,5.620276583961912,80.213133640553
F01,4,6935,5.581489844760934,5.814554647142534,80.77865897620764
F01,5,7145,5.447112561812618,5.657443352946575,79.80405878236529
F02,1,6733,6.019473272342978,6.051177700188978,77.60285162631814
F02,2,6935,5.691135732715017,5.769460797517141,79.95674116798847
F02,3,6944,5.488354095730146,5.7013724021773236,80.64516129032258
F02,4,6935,5.204090345252923,5.452305282456367,80.3604902667628
F02,5,7145,5.039546520576106,5.317172614771076,80.78376487053885
F03,1,6733,6.24632802071575,6.252236049852942,76.0433684835883
F03,2,6936,5.918019914425944,6.209370449800189,79.1955017301038
F03,3,6943,5.4591460808027215,5.836817409693712,80.69998559700417
F03,4,6934,5.375699332761839,5.643217463201225,82.27574271704644
F03,5,7146,4.467441088908194,4.6651107017757445,81.08032465715085
F04,1,6733,6.256366662581271,5.981113768001839,75.59780187137977
F04,2,6935,5.980872554851546,6.187673560129292,79.36553713049747
F04,3,6944,5.668568075453907,6.0290645083441445,80.44354838709677
F04,4,6934,5.220779740623172,5.716538149561606,81.91520046149408
F04,5,7146,4.34387150562149,4.696177429559283,81.93394906241254
F05,1,6733,6.206504881720188,5.975676428724422,75.43442744690331
F05,2,6935,5.720025745652393,5.8672455606266745,78.58687815428983
F05,3,6944,5.907333364835733,6.272007424135401,81.20679723502305
F05,4,6935,5.2854068358827835,5.769460797517141,82.22062004325883
F05,5,7145,4.349139526476072,4.662306093443454,81.80545836249125
F06,1,6729,6.641159192503197,6.900910047111758,79.50661316688958
F06,2,6930,5.830693985655799,6.147566265481869,79.84126984126985
F06,3,6938,5.42494176957403,5.73164844243067,80.1671951571058
F06,4,6931,4.967718676887887,5.124728024695957,80.19044870870005
F06,5,7140,4.585512618840409,4.616672996882807,79.71988795518207
F07,1,6733,6.4615505408220395,6.274616709623748,76.94935392841231
F07,2,6935,6.206038580927238,6.4166498539959465,78.94736842105263
F07,3,6944,5.581429713842055,5.96839142270147,80.24193548387096
F07,4,6935,5.088595881696973,5.666834478564436,81.26892573900506
F07,5,7145,4.1448340659323195,4.476135962476229,81.88943317004899
F08,1,6733,4.111629828676865,4.3570329993447805,82.47437991979801
F08,2,6935,5.274169857090392,5.768108128820585,82.43691420331652
F08,3,6944,5.650474149363995,6.119136278304934,80.25633640552995
F08,4,6935,6.043704786838439,6.40264813632893,78.80317231434752
F08,5,7145,6.269592769537856,6.068423862771663,75.67529741077676
F09,1,6733,3.933776780689791,4.191563195276048,82.2367443932868
F09,2,6935,5.213079600140617,5.793592547642074,82.13410237923576
F09,3,6944,5.578299956741528,6.057131775562732,80.24193548387096
F09,4,6935,6.107038021430827,6.392574880245447,78.83201153568854
F09,5,7145,6.505157096440004,6.52712430385884,76.17914625612316
F10,1,6733,5.454944797076882,5.716451495258082,84.12297638496955
F10,2,6935,5.58632830421933,5.661722342044297,82.45133381398702
F10,3,6944,5.701034046640791,5.802767498264762,80.32834101382488
F10,4,6935,5.634841327705148,5.647754375817457,78.15428983417448
F10,5,7145,5.048462139632019,5.243140253507372,74.66759972008397
F11,1,6733,5.799924708607603,5.801739834999105,79.90494578939551
F11,2,6935,5.552002638192319,5.646561462753641,79.8846431146359
F11,3,6944,5.413827040553158,5.618516858267711,80.5155529953917
F11,4,6935,5.30911659145793,5.550591613066627,79.94232155731795
F11,5,7145,5.351970221606542,5.470793029432415,79.21623512946117
F12,1,7163,5.670818535910717,5.705163082274864,80.55284098841268
F12,2,6507,5.4025278437899935,5.577355733751872,78.65375749193177
F12,3,6934,5.408417418124462,5.723263467457535,79.82405537929044
F12,4,6933,5.5026188531195475,5.575593807724119,80.57118130679359
F12,5,7147,5.422787940171347,5.468181192511343,79.7537428291591
F13,1,6733,4.282621529967044,4.44700699606269,81.92484776474083
F13,2,6935,5.183787140056545,5.529812153753337,81.61499639509732
F13,3,6944,5.637762217711264,6.018948579961252,80.48675115207374
F13,4,6935,6.02733830735739,6.287603612578197,79.32227829848594
F13,5,7145,6.224426948185943,6.3834936208224935,76.2631210636809
F14,1,6723,5.992818989450789,6.1544596407998196,77.95626952253458
F14,2,6861,5.44082756565318,5.510221923013446,79.93003935286401
F14,3,6991,5.147488492465376,5.297962414285197,80.03146903161206
F14,4,7023,5.154332809715543,5.407166762379239,80.74896767763065
F14,5,7094,5.695233402336835,5.906864934480577,80.6879052720609
F15,1,6733,6.24632802071575,6.252236049852942,76.0433684835883
F15,2,6936,5.918019914425944,6.209370449800189,79.1955017301038
F15,3,6943,5.4591460808027215,5.836817409693712,80.69998559700417
F15,4,6934,5.375699332761839,5.643217463201225,82.27574271704644
F15,5,7146,4.467441088908194,4.6651107017757445,81.08032465715085
F16,1,6733,6.206504881720188,5.975676428724422,75.43442744690331
F16,2,6935,5.720025745652393,5.8672455606266745,78.58687815428983
F16,3,6944,5.907333364835733,6.272007424135401,81.20679723502305
F16,4,6935,5.2854068358827835,5.769460797517141,82.22062004325883
F16,5,7145,4.349139526476072,4.662306093443454,81.80545836249125
F17,1,6729,6.641159192503197,6.900910047111758,79.50661316688958
F17,2,6930,5.830693985655799,6.147566265481869,79.84126984126985
F17,3,6938,5.42494176957403,5.73164844243067,80.1671951571058
F17,4,6931,4.967718676887887,5.124728024695957,80.19044870870005
F17,5,7140,4.585512618840409,4.616672996882807,79.71988795518207
