feature_id,primary_n_episodes,primary_signal_days,primary_cs_ic,disc_direction
F01,150,125,0.02538601715631806,POSITIVE
F02,150,125,-0.12630783590381794,NEGATIVE
F03,150,125,-0.13424774434419307,NEGATIVE
F04,150,125,-0.18208987066091828,NEGATIVE
F05,150,125,-0.16342237432774792,NEGATIVE
F06,150,125,-0.2029476865638473,NEGATIVE
F07,150,125,-0.2731552513445042,NEGATIVE
F08,150,125,0.2094795324236633,POSITIVE
F09,150,125,0.2159935997155429,POSITIVE
F10,150,125,-0.08887328325703366,POSITIVE
F11,150,125,-0.08810169340859593,NEGATIVE
F12,150,125,-0.03677144474995431,POSITIVE
F13,150,125,0.15203697942130762,POSITIVE
F14,150,125,-0.05278372877368757,POSITIVE
F15,150,125,-0.06361349393306369,POSITIVE
F16,150,125,-0.05180852482332548,POSITIVE
F17,150,125,-0.11807280323569938,POSITIVE
