feature_id,K,n_days,oracle_mean_pct,oracle_lift_vs_all_pp
F01,1,534,23.832985447241946,19.45725078903698
F01,3,534,19.211676082003596,14.83594142379863
F01,5,534,16.56300458420116,12.187269925996194
F01,10,428,15.166723119903159,10.790988461698193
F02,1,534,23.832985447241946,19.45725078903698
F02,3,534,19.211676082003596,14.83594142379863
F02,5,534,16.56300458420116,12.187269925996194
F02,10,428,15.166723119903159,10.790988461698193
F03,1,534,23.832985447241946,19.45725078903698
F03,3,534,19.211676082003596,14.83594142379863
F03,5,534,16.56300458420116,12.187269925996194
F03,10,428,15.166723119903159,10.790988461698193
F04,1,534,23.832985447241946,19.45725078903698
F04,3,534,19.211676082003596,14.83594142379863
F04,5,534,16.56300458420116,12.187269925996194
F04,10,428,15.166723119903159,10.790988461698193
F05,1,534,23.832985447241946,19.45725078903698
F05,3,534,19.211676082003596,14.83594142379863
F05,5,534,16.56300458420116,12.187269925996194
F05,10,428,15.166723119903159,10.790988461698193
F06,1,533,23.802387357865243,19.426652699660277
F06,3,533,19.189251362080267,14.813516703875301
F06,5,533,16.540774459849153,12.165039801644188
F06,10,427,15.1482281561195,10.772493497914533
F07,1,534,23.832985447241946,19.45725078903698
F07,3,534,19.211676082003596,14.83594142379863
F07,5,534,16.56300458420116,12.187269925996194
F07,10,428,15.166723119903159,10.790988461698193
F08,1,534,23.832985447241946,19.45725078903698
F08,3,534,19.211676082003596,14.83594142379863
F08,5,534,16.56300458420116,12.187269925996194
F08,10,428,15.166723119903159,10.790988461698193
F09,1,534,23.832985447241946,19.45725078903698
F09,3,534,19.211676082003596,14.83594142379863
F09,5,534,16.56300458420116,12.187269925996194
F09,10,428,15.166723119903159,10.790988461698193
F10,1,534,23.832985447241946,19.45725078903698
F10,3,534,19.211676082003596,14.83594142379863
F10,5,534,16.56300458420116,12.187269925996194
F10,10,428,15.166723119903159,10.790988461698193
F11,1,534,23.832985447241946,19.45725078903698
F11,3,534,19.211676082003596,14.83594142379863
F11,5,534,16.56300458420116,12.187269925996194
F11,10,428,15.166723119903159,10.790988461698193
F12,1,534,23.832985447241946,19.45725078903698
F12,3,534,19.21048026862223,14.834745610417265
F12,5,534,16.559637132450362,12.183902474245397
F12,10,427,15.203699692976933,10.827965034771967
F13,1,534,23.832985447241946,19.45725078903698
F13,3,534,19.211676082003596,14.83594142379863
F13,5,534,16.56300458420116,12.187269925996194
F13,10,428,15.166723119903159,10.790988461698193
F14,1,534,23.832985447241946,19.45725078903698
F14,3,534,19.211676082003596,14.83594142379863
F14,5,534,16.56300458420116,12.187269925996194
F14,10,428,15.166723119903159,10.790988461698193
F15,1,534,23.832985447241946,19.45725078903698
F15,3,534,19.211676082003596,14.83594142379863
F15,5,534,16.56300458420116,12.187269925996194
F15,10,428,15.166723119903159,10.790988461698193
F16,1,534,23.832985447241946,19.45725078903698
F16,3,534,19.211676082003596,14.83594142379863
F16,5,534,16.56300458420116,12.187269925996194
F16,10,428,15.166723119903159,10.790988461698193
F17,1,533,23.802387357865243,19.426652699660277
F17,3,533,19.189251362080267,14.813516703875301
F17,5,533,16.540774459849153,12.165039801644188
F17,10,427,15.1482281561195,10.772493497914533
