feature_id,family,name,expected_direction,disc_direction,direction_matches_registry,n_days,mean_ic,median_ic,pos_frac,hac_t,raw_p,bh_q,ic_ci_lo,ic_ci_hi,pairwise_acc,pairwise_n,K3_lift_pp,K3_lift_ci_lo,K3_lift_ci_hi,K3_mean_pp,random_K3_pctile,delta_vs_random_pp,oracle_K3_lift_pp,ic_2020,ic_2021,ic_2022,gateA,gateB,gateC,gateD,gateE,gateF,DISCOVERY_PASS
F01,OVERSOLD_DEPTH,BB_Z,UNKNOWN,POSITIVE,True,630,0.011599153898046145,-0.004760236996373071,0.4857142857142857,0.6712302369800601,0.5020738690803717,0.5690170516244212,-0.02549054661302955,0.04624464166920597,50.364093877642766,756261,-0.10439225199546544,-0.5042491224189577,0.29635732953939314,4.2713424062095005,31.619999999999997,-0.1071982505441671,14.83594142379863,0.018256140691430413,-0.010779945798301774,0.02981282426318395,False,False,False,False,False,True,False
F02,OVERSOLD_DEPTH,BB_LOWER_DISTANCE,UNKNOWN,NEGATIVE,True,630,-0.028403520982280682,-0.03689020759734848,0.42063492063492064,-1.6792578706157169,0.09310179782525174,0.1318942135857733,-0.06304605572460821,0.005244185954445973,51.46404288460877,756262,0.24475097994035191,-0.20734385205184339,0.7991421238973848,4.620485638145318,85.8,0.24194498139165077,14.83594142379863,-0.01051228327098264,-0.050091523543204584,-0.020008174248083883,False,False,False,False,False,True,False
F03,SHORT_PRICE_SHOCK,RET1,UNKNOWN,NEGATIVE,True,630,-0.034204792403781235,-0.04896802141246552,0.40634920634920635,-1.8025103367966773,0.0714651498677259,0.1104461407046673,-0.07212317817504639,0.007385427264770167,53.42551072897809,756223,0.4262474605328443,-0.0417851590358914,0.916587332107647,4.80198211873781,97.16,0.423441461984142,14.83594142379863,-0.05102925540832653,-0.07424723450001923,0.021634302965020016,False,True,True,False,False,True,False
F04,SHORT_PRICE_SHOCK,RET3,UNKNOWN,NEGATIVE,True,630,-0.05088535802944963,-0.0718159844704493,0.3825396825396825,-2.892206995673892,0.0038254581677725774,0.008779872398375212,-0.08257101237719637,-0.01802525527225617,53.55935296272249,756247,0.5479435684339581,0.0212768716123373,1.1301236262833902,4.923678226638924,99.36,0.5451375698852567,14.83594142379863,-0.006001609867393752,-0.09661621510584334,-0.038975123170916,True,True,True,True,True,True,True
F05,SHORT_PRICE_SHOCK,RET5,UNKNOWN,NEGATIVE,True,630,-0.05087573049155172,-0.06913945385301029,0.3952380952380952,-2.8304561833124757,0.004648167740316289,0.008779872398375212,-0.087538924228931,-0.016067374686056058,53.48770786611941,756256,0.5278052223342852,-0.03114665384401419,1.0325342395664572,4.903539880539251,99.14,0.5249992237855832,14.83594142379863,0.007677178912592279,-0.09272492108776939,-0.054118483471620495,True,True,True,True,False,True,False
F06,REVERSAL_CONTEXT,RET20,UNKNOWN,NEGATIVE,True,629,-0.04539932995026577,-0.06863301191151447,0.3958664546899841,-2.927704915766931,0.0034147395972914385,0.008779872398375212,-0.07067610053252674,-0.012412639904236559,53.99878566127887,755967,0.9337727379224748,0.39784883228255885,1.4816843275105154,5.295709133206648,100.0,0.9171684764529804,14.813516703875301,-0.010510452893908947,-0.055425687502365074,-0.06289576761793904,True,True,True,True,True,True,True
F07,REVERSAL_CONTEXT,DIST_MA20,UNKNOWN,NEGATIVE,True,630,-0.0678472074111959,-0.09467474265771242,0.35714285714285715,-3.5645669831527504,0.00036445737188683935,0.0020652584406920895,-0.10452706528076912,-0.03126505103225453,54.620296432051894,756261,0.831673057783898,0.224390191413296,1.4972149599948703,5.207407715988864,99.98,0.8288670592351961,14.83594142379863,-0.015423617334117916,-0.09064763289161382,-0.08621857251239103,True,True,True,True,True,True,True
F08,VOLATILITY,STOCK_RV20,UNKNOWN,POSITIVE,True,630,0.07594302424570944,0.11065436184159434,0.6333333333333333,4.284338379505684,1.8328378537768586e-05,0.00015579121757103298,0.03821506341707386,0.10840554912362899,54.357484575451366,756262,0.34219488858521013,-0.1660526554067222,0.8757464941765063,4.717929546790176,93.24,0.3393888900365081,14.83594142379863,0.03390391820958539,0.10312419483610125,0.0812927028705239,True,True,True,False,False,True,False
F09,VOLATILITY,ATR20_PCT,UNKNOWN,POSITIVE,True,630,0.08788583924496372,0.10335254542780592,0.6523809523809524,4.566865132452666,4.950723099028664e-06,8.41622926834873e-05,0.045578406316265654,0.12417557614733213,55.073387459339386,756260,0.6715440240506226,0.0730315820272869,1.1991601321608965,5.047278682255588,99.86,0.6687380255019209,14.83594142379863,0.05003901398589327,0.10882411040799876,0.09642700281901108,True,True,True,True,True,True,True
F10,LIQUIDITY,AMOUNT,UNKNOWN,POSITIVE,True,630,0.003414374221411864,0.004533770323244007,0.5015873015873016,0.18483277050942706,0.8533602035380015,0.8533602035380015,-0.030893722392426864,0.0457220768623409,50.187964208123915,756261,0.04773985198951436,-0.6251100738781664,0.6945215167600585,4.42347451019448,58.440000000000005,0.04493385344081258,14.83594142379863,0.022024897451741864,-0.009622063124917939,0.0021042848093653856,False,False,False,False,False,True,False
