signal_id,stock_code,stock_name,signal_date,entry_date,entry_role,close_ret_D20_pct,tier
SIG16548_2,300243,瑞丰高材,2021-09-29,2021-09-30,ADD_ON_1,-10.6228928390351,B5_亏10-25%
SIG28706_1,688520,神州细胞,2022-08-23,2022-08-24,NEW_ENTRY,-10.62271062271061,B5_亏10-25%
SIG55353_2,300490,华自科技,2024-06-03,2024-06-04,ADD_ON_1,-10.62221545492919,B5_亏10-25%
SIG5040_4,002602,世纪华通,2020-10-15,2020-10-16,ADD_ON_3,-10.6216546760148,B5_亏10-25%
SIG7601_2,600560,金自天正,2020-12-11,2020-12-14,ADD_ON_1,-10.62140899274449,B5_亏10-25%
SIG8076_1,600410,华胜天成,2020-12-11,2020-12-14,NEW_ENTRY,-10.621293600017,B5_亏10-25%
SIG49657_1,000989,九芝堂,2023-12-19,2023-12-20,NEW_ENTRY,-10.62068860930339,B5_亏10-25%
SIG38463_3,688468,科美诊断,2023-04-17,2023-04-18,ADD_ON_2,-10.62027615552421,B5_亏10-25%
SIG8551_1,300166,东方国信,2020-12-22,2020-12-23,NEW_ENTRY,-10.62020171609211,B5_亏10-25%
SIG28349_4,603165,荣晟环保,2022-09-20,2022-09-21,ADD_ON_3,-10.620129659725249,B5_亏10-25%
SIG26961_4,301065,本立科技,2022-08-26,2022-08-29,ADD_ON_3,-10.6199922526453,B5_亏10-25%
SIG57631_1,603107,上海汽配,2024-06-06,2024-06-07,NEW_ENTRY,-10.61882792995225,B5_亏10-25%
SIG12671_5,603719,良品铺子,2021-07-08,2021-07-09,ADD_ON_4,-10.61848204705345,B5_亏10-25%
SIG35516_4,601615,明阳智能,2023-04-21,2023-04-24,ADD_ON_3,-10.61822792592023,B5_亏10-25%
SIG47916_3,600963,岳阳林纸,2023-12-22,2023-12-25,ADD_ON_2,-10.61570008938429,B5_亏10-25%
SIG18937_3,002341,新纶新材,2022-01-20,2022-01-21,ADD_ON_2,-10.61570008938429,B5_亏10-25%
SIG51089_1,002609,捷顺科技,2024-01-17,2024-01-18,NEW_ENTRY,-10.61570008938429,B5_亏10-25%
SIG298_3,002509,天广中茂,2020-03-30,2020-03-31,ADD_ON_2,-10.61570008938429,B5_亏10-25%
SIG17402_1,002053,云南能投,2021-10-13,2021-10-14,NEW_ENTRY,-10.61570008938429,B5_亏10-25%
SIG584_3,601918,新集能源,2020-04-28,2020-04-29,ADD_ON_2,-10.61570008938429,B5_亏10-25%
SIG4614_4,000931,中关村,2020-12-09,2020-12-10,ADD_ON_3,-10.61570008938429,B5_亏10-25%
SIG21998_2,600775,南京熊猫,2022-03-08,2022-03-09,ADD_ON_1,-10.61570008938429,B5_亏10-25%
SIG46824_4,600190,,2023-12-25,2023-12-26,ADD_ON_3,-10.61570008938429,B5_亏10-25%
SIG18956_3,002610,爱康科技,2021-12-24,2021-12-27,ADD_ON_2,-10.61570008938429,B5_亏10-25%
SIG27232_3,603879,永悦科技,2022-08-31,2022-09-01,ADD_ON_2,-10.61570008938428,B5_亏10-25%
SIG237_2,601128,常熟银行,2020-03-16,2020-03-17,ADD_ON_1,-10.61570008938428,B5_亏10-25%
SIG22142_1,002146,荣盛发展,2022-02-08,2022-02-09,NEW_ENTRY,-10.61570008938428,B5_亏10-25%
SIG49506_2,300292,吴通控股,2023-12-20,2023-12-21,ADD_ON_1,-10.61570008938428,B5_亏10-25%
SIG30167_2,603223,恒通股份,2022-09-19,2022-09-20,ADD_ON_1,-10.61570008938428,B5_亏10-25%
