signal_id,stock_code,stock_name,signal_date,entry_date,entry_role,close_ret_D20_pct,tier
SIG50532_2,688610,埃科光电,2024-01-08,2024-01-09,ADD_ON_1,-46.633034404029985,B1_最亏0.1%
SIG50960_1,688307,中润光学,2024-01-10,2024-01-11,NEW_ENTRY,-46.611359654837905,B1_最亏0.1%
SIG38192_5,603559,中通国脉,2023-04-25,2023-04-26,ADD_ON_4,-46.533610793538585,B1_最亏0.1%
SIG50052_3,301378,通达海,2024-01-10,2024-01-11,ADD_ON_2,-46.531699438013554,B1_最亏0.1%
SIG24313_1,300037,新宙邦,2022-04-11,2022-04-12,NEW_ENTRY,-46.47922358765731,B1_最亏0.1%
SIG38635_2,301067,显盈科技,2023-04-21,2023-04-24,ADD_ON_1,-46.39568302535003,B1_最亏0.1%
SIG24547_1,002177,御银股份,2022-04-15,2022-04-18,NEW_ENTRY,-46.384852045229394,B1_最亏0.1%
SIG38264_1,301179,泽宇智能,2023-04-04,2023-04-06,NEW_ENTRY,-46.36901111721255,B1_最亏0.1%
SIG24354_2,300827,上能电气,2022-04-13,2022-04-14,ADD_ON_1,-46.32750265332588,B1_最亏0.1%
SIG55948_2,603688,石英股份,2024-05-06,2024-05-07,ADD_ON_1,-46.29493928231656,B1_最亏0.1%
SIG50788_1,301307,美利信,2024-01-08,2024-01-09,NEW_ENTRY,-46.288279621612936,B1_最亏0.1%
SIG54521_1,002621,美吉姆,2024-04-15,2024-04-16,NEW_ENTRY,-46.2076385153308,B1_最亏0.1%
SIG38326_3,603555,贵人鸟,2023-04-12,2023-04-13,ADD_ON_2,-46.182849408655855,B1_最亏0.1%
SIG50408_3,300991,创益通,2024-01-10,2024-01-11,ADD_ON_2,-46.179281972639906,B1_最亏0.1%
SIG50900_1,002213,大为股份,2024-01-10,2024-01-11,NEW_ENTRY,-46.097610001151814,B1_最亏0.1%
SIG24313_2,300037,新宙邦,2022-04-13,2022-04-14,ADD_ON_1,-46.09468920909598,B1_最亏0.1%
SIG57913_2,603883,老百姓,2024-06-17,2024-06-18,ADD_ON_1,-46.05394605394606,B1_最亏0.1%
SIG21918_5,300297,蓝盾股份,2022-04-13,2022-04-14,ADD_ON_4,-46.053946053946035,B1_最亏0.1%
SIG48355_5,301123,奕东电子,2024-01-10,2024-01-11,ADD_ON_4,-46.05110663850597,B1_最亏0.1%
SIG48969_3,300279,和晶科技,2024-01-10,2024-01-11,ADD_ON_2,-46.044135896836394,B1_最亏0.1%
SIG9283_1,600695,绿庭投资,2021-01-11,2021-01-12,NEW_ENTRY,-45.98621717265785,B1_最亏0.1%
SIG48474_3,603933,睿能科技,2024-01-10,2024-01-11,ADD_ON_2,-45.887445887445885,B1_最亏0.1%
SIG52814_3,300116,保力新,2024-03-27,2024-03-28,ADD_ON_2,-45.88744588744587,B1_最亏0.1%
SIG13507_1,600593,大连圣亚,2021-07-01,2021-07-02,NEW_ENTRY,-45.87531030679718,B1_最亏0.1%
SIG49896_3,688311,盟升电子,2024-01-10,2024-01-11,ADD_ON_2,-45.79159204342937,B1_最亏0.1%
SIG2165_1,002219,恒康医疗,2020-04-24,2020-04-27,NEW_ENTRY,-45.768517197088634,B1_最亏0.1%
SIG24258_2,000889,中嘉博创,2022-04-13,2022-04-14,ADD_ON_1,-45.65873686752806,B1_最亏0.1%
SIG23072_3,300458,全志科技,2022-04-25,2022-04-26,ADD_ON_2,-45.6467171234156,B1_最亏0.1%
SIG53890_5,688410,山外山,2024-07-02,2024-07-03,ADD_ON_4,-45.62715923396262,B1_最亏0.1%
SIG8207_1,002096,易普力,2020-12-14,2020-12-15,NEW_ENTRY,-45.61651366385093,B1_最亏0.1%
SIG36974_2,000976,华铁股份,2023-04-21,2023-04-24,ADD_ON_1,-45.60994560994561,B1_最亏0.1%
